offline_id,activity_id,master_agent_id,offline_date,offline_start,offline_end,offline_category,productive_flag,approved_flag,duration_minutes,source_system
O00000017,ACT00000043,A001,2025-01-02,2025-01-02 12:57:00,2025-01-02 13:07:00,Break,0,1,10.0,Queue Manager
O00000018,ACT00000053,A001,2025-01-02,2025-01-02 15:44:00,2025-01-02 16:00:00,Training,1,1,16.0,SharePoint Tracker
O00000019,ACT00000058,A001,2025-01-03,2025-01-03 08:25:00,2025-01-03 08:39:00,Break,0,1,14.0,Queue Manager
O00000020,ACT00000062,A001,2025-01-03,2025-01-03 09:40:00,2025-01-03 11:00:00,Training,1,1,80.0,SharePoint Tracker
O00000021,ACT00000063,A001,2025-01-03,2025-01-03 11:00:00,2025-01-03 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000022,ACT00000066,A001,2025-01-03,2025-01-03 12:06:00,2025-01-03 12:57:00,Team Meeting,1,1,51.0,SharePoint Tracker
O00000023,ACT00000070,A001,2025-01-03,2025-01-03 13:44:00,2025-01-03 14:54:00,Training,1,1,70.0,SharePoint Tracker
O00000024,ACT00000071,A001,2025-01-03,2025-01-03 14:54:00,2025-01-03 15:08:00,Break,0,1,14.0,Queue Manager
O00000025,ACT00000073,A001,2025-01-03,2025-01-03 15:20:00,2025-01-03 15:31:00,Waiting for Work,0,1,11.0,Queue Manager
O00000026,ACT00000074,A001,2025-01-03,2025-01-03 15:31:00,2025-01-03 15:45:00,Break,0,1,14.0,Queue Manager
O00000027,ACT00000076,A001,2025-01-06,2025-01-06 07:00:00,2025-01-06 07:11:00,Admin,1,1,11.0,SharePoint Tracker
O00000028,ACT00000078,A001,2025-01-06,2025-01-06 07:36:00,2025-01-06 08:08:00,Team Meeting,1,1,32.0,SharePoint Tracker
O00000029,ACT00000089,A001,2025-01-06,2025-01-06 10:50:00,2025-01-06 11:00:00,Training,1,1,10.0,SharePoint Tracker
O00000030,ACT00000090,A001,2025-01-06,2025-01-06 11:00:00,2025-01-06 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000031,ACT00000104,A001,2025-01-06,2025-01-06 15:08:00,2025-01-06 15:21:00,Break,0,1,13.0,Queue Manager
O00000032,ACT00000105,A001,2025-01-06,2025-01-06 15:21:00,2025-01-06 15:37:00,Admin,1,1,16.0,SharePoint Tracker
O00000033,ACT00000108,A001,2025-01-07,2025-01-07 07:15:00,2025-01-07 07:31:00,Admin,1,1,16.0,SharePoint Tracker
O00000034,ACT00000110,A001,2025-01-07,2025-01-07 07:43:00,2025-01-07 08:39:00,Team Meeting,1,1,56.0,SharePoint Tracker
O00000035,ACT00000111,A001,2025-01-07,2025-01-07 08:39:00,2025-01-07 09:05:00,Coaching,1,1,26.0,SharePoint Tracker
O00000036,ACT00000112,A001,2025-01-07,2025-01-07 09:05:00,2025-01-07 09:45:00,System Issue,0,1,40.0,IT Incident Log
O00000037,ACT00000117,A001,2025-01-07,2025-01-07 10:52:00,2025-01-07 11:00:00,Break,0,1,8.0,Queue Manager
O00000038,ACT00000118,A001,2025-01-07,2025-01-07 11:00:00,2025-01-07 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000039,ACT00000120,A001,2025-01-07,2025-01-07 11:44:00,2025-01-07 13:37:00,Training,1,1,113.0,SharePoint Tracker
O00000040,ACT00000131,A001,2025-01-08,2025-01-08 07:59:00,2025-01-08 08:42:00,Coaching,1,1,43.0,SharePoint Tracker
O00000041,ACT00000134,A001,2025-01-08,2025-01-08 09:14:00,2025-01-08 09:18:00,Waiting for Work,0,1,4.0,Queue Manager
O00000042,ACT00000136,A001,2025-01-08,2025-01-08 09:43:00,2025-01-08 10:28:00,Unplanned Offline,0,0,45.0,Queue Manager
O00000043,ACT00000137,A001,2025-01-08,2025-01-08 10:28:00,2025-01-08 10:40:00,Break,0,1,12.0,Queue Manager
O00000044,ACT00000139,A001,2025-01-08,2025-01-08 10:59:00,2025-01-08 11:00:00,Email Support,1,1,1.0,Queue Manager
O00000045,ACT00000140,A001,2025-01-08,2025-01-08 11:00:00,2025-01-08 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000046,ACT00000144,A001,2025-01-08,2025-01-08 12:34:00,2025-01-08 13:12:00,Coaching,1,1,38.0,SharePoint Tracker
O00000047,ACT00000145,A001,2025-01-08,2025-01-08 13:12:00,2025-01-08 13:24:00,Email Support,1,1,12.0,Queue Manager
O00000048,ACT00000149,A001,2025-01-08,2025-01-08 14:12:00,2025-01-08 14:56:00,Unplanned Offline,0,0,44.0,Queue Manager
O00000049,ACT00000162,A001,2025-01-09,2025-01-09 08:39:00,2025-01-09 08:49:00,Break,0,1,10.0,Queue Manager
O00000050,ACT00000170,A001,2025-01-09,2025-01-09 11:00:00,2025-01-09 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000051,ACT00000182,A001,2025-01-09,2025-01-09 15:11:00,2025-01-09 15:46:00,Team Meeting,1,1,35.0,SharePoint Tracker
O00000052,ACT00000189,A001,2025-01-10,2025-01-10 08:44:00,2025-01-10 08:59:00,Break,0,1,15.0,Queue Manager
O00000053,ACT00000190,A001,2025-01-10,2025-01-10 08:59:00,2025-01-10 09:12:00,Break,0,1,13.0,Queue Manager
O00000054,ACT00000193,A001,2025-01-10,2025-01-10 09:43:00,2025-01-10 10:09:00,Team Meeting,1,1,26.0,SharePoint Tracker
O00000055,ACT00000197,A001,2025-01-10,2025-01-10 11:00:00,2025-01-10 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000056,ACT00000200,A001,2025-01-10,2025-01-10 11:55:00,2025-01-10 12:22:00,System Issue,0,1,27.0,IT Incident Log
O00000057,ACT00000202,A001,2025-01-10,2025-01-10 12:36:00,2025-01-10 12:46:00,Break,0,1,10.0,Queue Manager
O00000058,ACT00000215,A001,2025-01-10,2025-01-10 15:41:00,2025-01-10 15:51:00,Break,0,1,10.0,Queue Manager
O00000059,ACT00000217,A001,2025-01-13,2025-01-13 07:00:00,2025-01-13 07:18:00,Admin,1,1,18.0,SharePoint Tracker
O00000060,ACT00000218,A001,2025-01-13,2025-01-13 07:18:00,2025-01-13 07:53:00,Admin,1,1,35.0,SharePoint Tracker
O00000061,ACT00000225,A001,2025-01-13,2025-01-13 09:31:00,2025-01-13 10:09:00,Unplanned Offline,0,0,38.0,Queue Manager
O00000062,ACT00000229,A001,2025-01-13,2025-01-13 11:00:00,2025-01-13 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000063,ACT00000234,A001,2025-01-13,2025-01-13 12:28:00,2025-01-13 13:07:00,Admin,1,1,39.0,SharePoint Tracker
O00000064,ACT00000235,A001,2025-01-13,2025-01-13 13:08:00,2025-01-13 13:19:00,Break,0,1,11.0,Queue Manager
O00000065,ACT00000238,A001,2025-01-13,2025-01-13 13:48:00,2025-01-13 13:59:00,Waiting for Work,0,1,11.0,Queue Manager
O00000066,ACT00000240,A001,2025-01-13,2025-01-13 14:12:00,2025-01-13 14:30:00,Waiting for Work,0,1,18.0,Queue Manager
O00000067,ACT00000241,A001,2025-01-13,2025-01-13 14:30:00,2025-01-13 15:03:00,Unplanned Offline,0,0,33.0,Queue Manager
O00000068,ACT00000247,A001,2025-01-14,2025-01-14 07:00:00,2025-01-14 07:09:00,Admin,1,1,9.0,SharePoint Tracker
O00000069,ACT00000248,A001,2025-01-14,2025-01-14 07:09:00,2025-01-14 07:35:00,Team Meeting,1,1,26.0,SharePoint Tracker
O00000070,ACT00000250,A001,2025-01-14,2025-01-14 07:44:00,2025-01-14 08:43:00,Team Meeting,1,1,59.0,SharePoint Tracker
O00000071,ACT00000252,A001,2025-01-14,2025-01-14 08:57:00,2025-01-14 09:39:00,Waiting for Work,0,1,42.0,Queue Manager
O00000072,ACT00000253,A001,2025-01-14,2025-01-14 09:39:00,2025-01-14 10:04:00,Admin,1,1,25.0,SharePoint Tracker
O00000073,ACT00000254,A001,2025-01-14,2025-01-14 10:04:00,2025-01-14 10:21:00,Coaching,1,1,17.0,SharePoint Tracker
O00000074,ACT00000257,A001,2025-01-14,2025-01-14 11:00:00,2025-01-14 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000075,ACT00000258,A001,2025-01-14,2025-01-14 11:30:00,2025-01-14 12:01:00,Waiting for Work,0,1,31.0,Queue Manager
O00000076,ACT00000264,A001,2025-01-14,2025-01-14 13:17:00,2025-01-14 14:15:00,Team Meeting,1,1,58.0,SharePoint Tracker
O00000077,ACT00000265,A001,2025-01-14,2025-01-14 14:18:00,2025-01-14 14:29:00,Waiting for Work,0,1,11.0,Queue Manager
O00000078,ACT00000270,A001,2025-01-15,2025-01-15 07:00:00,2025-01-15 07:13:00,Admin,1,1,13.0,SharePoint Tracker
O00000079,ACT00000271,A001,2025-01-15,2025-01-15 07:13:00,2025-01-15 07:46:00,Email Support,1,1,33.0,Queue Manager
O00000080,ACT00000272,A001,2025-01-15,2025-01-15 07:48:00,2025-01-15 08:29:00,Waiting for Work,0,1,41.0,Queue Manager
O00000081,ACT00000274,A001,2025-01-15,2025-01-15 08:44:00,2025-01-15 09:20:00,Team Meeting,1,1,36.0,SharePoint Tracker
O00000082,ACT00000275,A001,2025-01-15,2025-01-15 09:21:00,2025-01-15 09:55:00,Coaching,1,1,34.0,SharePoint Tracker
O00000083,ACT00000278,A001,2025-01-15,2025-01-15 10:31:00,2025-01-15 10:58:00,Team Meeting,1,1,27.0,SharePoint Tracker
O00000084,ACT00000280,A001,2025-01-15,2025-01-15 11:00:00,2025-01-15 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000085,ACT00000283,A001,2025-01-15,2025-01-15 12:12:00,2025-01-15 12:35:00,Team Meeting,1,1,23.0,SharePoint Tracker
O00000086,ACT00000297,A001,2025-01-16,2025-01-16 07:00:00,2025-01-16 07:17:00,Admin,1,1,17.0,SharePoint Tracker
O00000087,ACT00000300,A001,2025-01-16,2025-01-16 07:57:00,2025-01-16 08:10:00,Waiting for Work,0,1,13.0,Queue Manager
O00000088,ACT00000301,A001,2025-01-16,2025-01-16 08:10:00,2025-01-16 08:31:00,Admin,1,1,21.0,SharePoint Tracker
O00000089,ACT00000312,A001,2025-01-16,2025-01-16 11:00:00,2025-01-16 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000090,ACT00000325,A001,2025-01-16,2025-01-16 15:08:00,2025-01-16 15:27:00,Coaching,1,1,19.0,SharePoint Tracker
O00000091,ACT00000329,A001,2025-01-17,2025-01-17 07:00:00,2025-01-17 07:08:00,Admin,1,1,8.0,SharePoint Tracker
O00000092,ACT00000336,A001,2025-01-17,2025-01-17 08:37:00,2025-01-17 08:47:00,Break,0,1,10.0,Queue Manager
O00000093,ACT00000340,A001,2025-01-17,2025-01-17 09:47:00,2025-01-17 10:28:00,Training,1,1,41.0,SharePoint Tracker
O00000094,ACT00000343,A001,2025-01-17,2025-01-17 11:00:00,2025-01-17 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000095,ACT00000344,A001,2025-01-17,2025-01-17 11:30:00,2025-01-17 12:30:00,Email Support,1,1,60.0,Queue Manager
O00000096,ACT00000349,A001,2025-01-17,2025-01-17 13:29:00,2025-01-17 13:53:00,System Issue,0,1,24.0,IT Incident Log
O00000097,ACT00000352,A001,2025-01-17,2025-01-17 14:31:00,2025-01-17 14:34:00,Waiting for Work,0,1,3.0,Queue Manager
O00000098,ACT00000356,A001,2025-01-17,2025-01-17 15:21:00,2025-01-17 16:00:00,Team Meeting,1,1,39.0,SharePoint Tracker
O00000099,ACT00000357,A001,2025-01-20,2025-01-20 07:05:00,2025-01-20 07:13:00,Admin,1,1,8.0,SharePoint Tracker
O00000100,ACT00000359,A001,2025-01-20,2025-01-20 07:28:00,2025-01-20 07:32:00,Waiting for Work,0,1,4.0,Queue Manager
O00000101,ACT00000362,A001,2025-01-20,2025-01-20 07:59:00,2025-01-20 08:18:00,Admin,1,1,19.0,SharePoint Tracker
O00000102,ACT00000365,A001,2025-01-20,2025-01-20 09:26:00,2025-01-20 09:43:00,Waiting for Work,0,1,17.0,Queue Manager
O00000103,ACT00000368,A001,2025-01-20,2025-01-20 10:05:00,2025-01-20 10:18:00,Waiting for Work,0,1,13.0,Queue Manager
O00000104,ACT00000371,A001,2025-01-20,2025-01-20 11:00:00,2025-01-20 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000105,ACT00000377,A001,2025-01-20,2025-01-20 13:26:00,2025-01-20 14:14:00,Email Support,1,1,48.0,Queue Manager
O00000106,ACT00000383,A001,2025-01-21,2025-01-21 07:00:00,2025-01-21 07:10:00,Waiting for Work,0,1,10.0,Queue Manager
O00000107,ACT00000384,A001,2025-01-21,2025-01-21 07:10:00,2025-01-21 07:47:00,Email Support,1,1,37.0,Queue Manager
O00000108,ACT00000389,A001,2025-01-21,2025-01-21 08:35:00,2025-01-21 08:50:00,Waiting for Work,0,1,15.0,Queue Manager
O00000109,ACT00000392,A001,2025-01-21,2025-01-21 09:17:00,2025-01-21 09:52:00,Coaching,1,1,35.0,SharePoint Tracker
O00000110,ACT00000393,A001,2025-01-21,2025-01-21 09:52:00,2025-01-21 10:23:00,Email Support,1,1,31.0,Queue Manager
O00000111,ACT00000394,A001,2025-01-21,2025-01-21 10:23:00,2025-01-21 10:33:00,Waiting for Work,0,1,10.0,Queue Manager
O00000112,ACT00000395,A001,2025-01-21,2025-01-21 10:35:00,2025-01-21 10:49:00,Admin,1,1,14.0,SharePoint Tracker
O00000113,ACT00000397,A001,2025-01-21,2025-01-21 11:00:00,2025-01-21 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000114,ACT00000398,A001,2025-01-21,2025-01-21 11:30:00,2025-01-21 12:05:00,Email Support,1,1,35.0,Queue Manager
O00000115,ACT00000402,A001,2025-01-21,2025-01-21 13:12:00,2025-01-21 13:18:00,Unplanned Offline,0,0,6.0,Queue Manager
O00000116,ACT00000410,A001,2025-01-21,2025-01-21 15:13:00,2025-01-21 15:28:00,Break,0,1,15.0,Queue Manager
O00000117,ACT00000417,A001,2025-01-22,2025-01-22 08:06:00,2025-01-22 08:19:00,Break,0,1,13.0,Queue Manager
O00000118,ACT00000420,A001,2025-01-22,2025-01-22 09:04:00,2025-01-22 10:19:00,Training,1,1,75.0,SharePoint Tracker
O00000119,ACT00000422,A001,2025-01-22,2025-01-22 10:33:00,2025-01-22 10:36:00,Waiting for Work,0,1,3.0,Queue Manager
O00000120,ACT00000424,A001,2025-01-22,2025-01-22 10:56:00,2025-01-22 10:59:00,Waiting for Work,0,1,3.0,Queue Manager
O00000121,ACT00000425,A001,2025-01-22,2025-01-22 11:00:00,2025-01-22 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000122,ACT00000426,A001,2025-01-22,2025-01-22 11:30:00,2025-01-22 12:38:00,System Issue,0,1,68.0,IT Incident Log
O00000123,ACT00000439,A001,2025-01-23,2025-01-23 07:36:00,2025-01-23 07:51:00,Email Support,1,1,15.0,Queue Manager
O00000124,ACT00000442,A001,2025-01-23,2025-01-23 08:14:00,2025-01-23 08:23:00,Waiting for Work,0,1,9.0,Queue Manager
O00000125,ACT00000445,A001,2025-01-23,2025-01-23 09:16:00,2025-01-23 09:53:00,Coaching,1,1,37.0,SharePoint Tracker
O00000126,ACT00000449,A001,2025-01-23,2025-01-23 11:00:00,2025-01-23 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000127,ACT00000453,A001,2025-01-23,2025-01-23 12:15:00,2025-01-23 12:30:00,Break,0,1,15.0,Queue Manager
O00000128,ACT00000454,A001,2025-01-23,2025-01-23 12:30:00,2025-01-23 12:40:00,Break,0,1,10.0,Queue Manager
O00000129,ACT00000455,A001,2025-01-23,2025-01-23 12:40:00,2025-01-23 13:09:00,Coaching,1,1,29.0,SharePoint Tracker
O00000130,ACT00000456,A001,2025-01-23,2025-01-23 13:09:00,2025-01-23 13:53:00,Coaching,1,1,44.0,SharePoint Tracker
O00000131,ACT00000463,A001,2025-01-23,2025-01-23 15:27:00,2025-01-23 15:40:00,Admin,1,1,13.0,SharePoint Tracker
O00000132,ACT00000467,A001,2025-01-24,2025-01-24 07:22:00,2025-01-24 08:01:00,Coaching,1,1,39.0,SharePoint Tracker
O00000133,ACT00000468,A001,2025-01-24,2025-01-24 08:01:00,2025-01-24 08:11:00,Email Support,1,1,10.0,Queue Manager
O00000134,ACT00000469,A001,2025-01-24,2025-01-24 08:11:00,2025-01-24 08:23:00,Break,0,1,12.0,Queue Manager
O00000135,ACT00000473,A001,2025-01-24,2025-01-24 09:06:00,2025-01-24 10:05:00,System Issue,0,1,59.0,IT Incident Log
O00000136,ACT00000474,A001,2025-01-24,2025-01-24 10:05:00,2025-01-24 10:16:00,Waiting for Work,0,1,11.0,Queue Manager
O00000137,ACT00000475,A001,2025-01-24,2025-01-24 10:16:00,2025-01-24 10:26:00,Waiting for Work,0,1,10.0,Queue Manager
O00000138,ACT00000476,A001,2025-01-24,2025-01-24 10:28:00,2025-01-24 10:53:00,Admin,1,1,25.0,SharePoint Tracker
O00000139,ACT00000477,A001,2025-01-24,2025-01-24 10:53:00,2025-01-24 11:00:00,Training,1,1,7.0,SharePoint Tracker
O00000140,ACT00000478,A001,2025-01-24,2025-01-24 11:00:00,2025-01-24 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000141,ACT00000484,A001,2025-01-24,2025-01-24 12:58:00,2025-01-24 13:26:00,Coaching,1,1,28.0,SharePoint Tracker
O00000142,ACT00000486,A001,2025-01-24,2025-01-24 13:43:00,2025-01-24 13:54:00,Admin,1,1,11.0,SharePoint Tracker
O00000143,ACT00000491,A001,2025-01-24,2025-01-24 14:53:00,2025-01-24 15:52:00,Team Meeting,1,1,59.0,SharePoint Tracker
O00000144,ACT00000494,A001,2025-01-25,2025-01-25 07:28:00,2025-01-25 07:55:00,Waiting for Work,0,1,27.0,Queue Manager
O00000145,ACT00000495,A001,2025-01-25,2025-01-25 07:55:00,2025-01-25 08:33:00,Waiting for Work,0,1,38.0,Queue Manager
O00000146,ACT00000496,A001,2025-01-25,2025-01-25 08:33:00,2025-01-25 09:10:00,Admin,1,1,37.0,SharePoint Tracker
O00000147,ACT00000499,A001,2025-01-25,2025-01-25 09:52:00,2025-01-25 10:18:00,Team Meeting,1,1,26.0,SharePoint Tracker
O00000148,ACT00000501,A001,2025-01-25,2025-01-25 10:31:00,2025-01-25 10:59:00,Waiting for Work,0,1,28.0,Queue Manager
O00000149,ACT00000503,A001,2025-01-25,2025-01-25 11:00:00,2025-01-25 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000150,ACT00000505,A001,2025-01-25,2025-01-25 11:41:00,2025-01-25 11:54:00,Break,0,1,13.0,Queue Manager
O00000151,ACT00000508,A001,2025-01-25,2025-01-25 12:49:00,2025-01-25 13:00:00,Waiting for Work,0,1,11.0,Queue Manager
O00000152,ACT00000511,A001,2025-01-25,2025-01-25 13:28:00,2025-01-25 13:50:00,Coaching,1,1,22.0,SharePoint Tracker
O00000153,ACT00000512,A001,2025-01-25,2025-01-25 13:50:00,2025-01-25 14:35:00,Waiting for Work,0,1,45.0,Queue Manager
O00000154,ACT00000515,A001,2025-01-25,2025-01-25 15:00:00,2025-01-25 15:48:00,Waiting for Work,0,1,48.0,Queue Manager
O00000155,ACT00000517,A001,2025-01-25,2025-01-25 15:59:00,2025-01-25 16:00:00,Waiting for Work,0,1,1.0,Queue Manager
O00000156,ACT00000521,A001,2025-01-26,2025-01-26 07:46:00,2025-01-26 08:13:00,Coaching,1,1,27.0,SharePoint Tracker
O00000157,ACT00000529,A001,2025-01-26,2025-01-26 09:52:00,2025-01-26 11:00:00,Training,1,1,68.0,SharePoint Tracker
O00000158,ACT00000530,A001,2025-01-26,2025-01-26 11:00:00,2025-01-26 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000159,ACT00000531,A001,2025-01-26,2025-01-26 11:30:00,2025-01-26 11:42:00,Break,0,1,12.0,Queue Manager
O00000160,ACT00000535,A001,2025-01-26,2025-01-26 12:36:00,2025-01-26 12:48:00,Email Support,1,1,12.0,Queue Manager
O00000161,ACT00000545,A001,2025-01-26,2025-01-26 15:10:00,2025-01-26 15:40:00,Waiting for Work,0,1,30.0,Queue Manager
O00000162,ACT00000546,A001,2025-01-26,2025-01-26 15:40:00,2025-01-26 15:56:00,System Issue,0,1,16.0,IT Incident Log
O00000163,ACT00000548,A001,2025-01-27,2025-01-27 07:00:00,2025-01-27 07:10:00,Admin,1,1,10.0,SharePoint Tracker
O00000164,ACT00000549,A001,2025-01-27,2025-01-27 07:10:00,2025-01-27 07:56:00,Email Support,1,1,46.0,Queue Manager
O00000165,ACT00000550,A001,2025-01-27,2025-01-27 07:56:00,2025-01-27 08:53:00,Email Support,1,1,57.0,Queue Manager
O00000166,ACT00000558,A001,2025-01-27,2025-01-27 11:00:00,2025-01-27 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000167,ACT00000559,A001,2025-01-27,2025-01-27 11:30:00,2025-01-27 11:41:00,Waiting for Work,0,1,11.0,Queue Manager
O00000168,ACT00000563,A001,2025-01-27,2025-01-27 13:01:00,2025-01-27 13:18:00,System Issue,0,1,17.0,IT Incident Log
O00000169,ACT00000564,A001,2025-01-27,2025-01-27 13:18:00,2025-01-27 13:30:00,Waiting for Work,0,1,12.0,Queue Manager
O00000170,ACT00000572,A001,2025-01-27,2025-01-27 15:40:00,2025-01-27 15:47:00,Unplanned Offline,0,0,7.0,Queue Manager
O00000171,ACT00000573,A001,2025-01-27,2025-01-27 15:50:00,2025-01-27 16:00:00,Waiting for Work,0,1,10.0,Queue Manager
O00000172,ACT00000574,A001,2025-01-28,2025-01-28 07:05:00,2025-01-28 07:19:00,Admin,1,1,14.0,SharePoint Tracker
O00000173,ACT00000579,A001,2025-01-28,2025-01-28 08:25:00,2025-01-28 08:55:00,Admin,1,1,30.0,SharePoint Tracker
O00000174,ACT00000587,A001,2025-01-28,2025-01-28 11:00:00,2025-01-28 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000175,ACT00000588,A001,2025-01-28,2025-01-28 11:30:00,2025-01-28 11:38:00,Waiting for Work,0,1,8.0,Queue Manager
O00000176,ACT00000595,A001,2025-01-28,2025-01-28 13:33:00,2025-01-28 14:00:00,Team Meeting,1,1,27.0,SharePoint Tracker
O00000177,ACT00000600,A001,2025-01-28,2025-01-28 15:28:00,2025-01-28 15:35:00,Waiting for Work,0,1,7.0,Queue Manager
O00000178,ACT00000603,A001,2025-01-28,2025-01-28 15:54:00,2025-01-28 16:00:00,Break,0,1,6.0,Queue Manager
O00000179,ACT00000611,A001,2025-01-29,2025-01-29 08:33:00,2025-01-29 08:48:00,Break,0,1,15.0,Queue Manager
O00000180,ACT00000617,A001,2025-01-29,2025-01-29 10:21:00,2025-01-29 10:32:00,Break,0,1,11.0,Queue Manager
O00000181,ACT00000621,A001,2025-01-29,2025-01-29 11:00:00,2025-01-29 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000182,ACT00000622,A001,2025-01-29,2025-01-29 11:30:00,2025-01-29 11:42:00,Break,0,1,12.0,Queue Manager
O00000183,ACT00000626,A001,2025-01-29,2025-01-29 12:21:00,2025-01-29 12:33:00,Admin,1,1,12.0,SharePoint Tracker
O00000184,ACT00000638,A001,2025-01-29,2025-01-29 15:40:00,2025-01-29 16:00:00,Waiting for Work,0,1,20.0,Queue Manager
O00000185,ACT00000639,A001,2025-01-31,2025-01-31 07:00:00,2025-01-31 07:17:00,Admin,1,1,17.0,SharePoint Tracker
O00000186,ACT00000643,A001,2025-01-31,2025-01-31 08:06:00,2025-01-31 09:02:00,Training,1,1,56.0,SharePoint Tracker
O00000187,ACT00000644,A001,2025-01-31,2025-01-31 09:02:00,2025-01-31 09:12:00,Break,0,1,10.0,Queue Manager
O00000188,ACT00000651,A001,2025-01-31,2025-01-31 11:00:00,2025-01-31 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000189,ACT00000652,A001,2025-01-31,2025-01-31 11:30:00,2025-01-31 11:39:00,Waiting for Work,0,1,9.0,Queue Manager
O00000190,ACT00000655,A001,2025-01-31,2025-01-31 12:15:00,2025-01-31 12:21:00,Waiting for Work,0,1,6.0,Queue Manager
O00000191,ACT00000660,A001,2025-01-31,2025-01-31 13:35:00,2025-01-31 13:53:00,Waiting for Work,0,1,18.0,Queue Manager
O00000192,ACT00000665,A001,2025-01-31,2025-01-31 14:53:00,2025-01-31 15:19:00,Admin,1,1,26.0,SharePoint Tracker
O00000193,ACT00000670,A001,2025-02-03,2025-02-03 07:40:00,2025-02-03 08:41:00,System Issue,0,1,61.0,IT Incident Log
O00000194,ACT00000671,A001,2025-02-03,2025-02-03 08:41:00,2025-02-03 09:17:00,System Issue,0,1,36.0,IT Incident Log
O00000195,ACT00000676,A001,2025-02-03,2025-02-03 10:20:00,2025-02-03 10:34:00,Waiting for Work,0,1,14.0,Queue Manager
O00000196,ACT00000679,A001,2025-02-03,2025-02-03 11:00:00,2025-02-03 11:30:00,Lunch,0,1,30.0,Queue Manager
O00000197,ACT00000681,A001,2025-02-03,2025-02-03 11:46:00,2025-02-03 12:19:00,Team Meeting,1,1,33.0,SharePoint Tracker
O00000198,ACT00000682,A001,2025-02-03,2025-02-03 12:19:00,2025-02-03 12:31:00,Break,0,1,12.0,Queue Manager
O00000199,ACT00000683,A001,2025-02-03,2025-02-03 12:34:00,2025-02-03 13:06:00,Training,1,1,32.0,SharePoint Tracker
