qa_id,call_id,master_agent_id,review_date,qa_score,compliance_score,empathy_score,documentation_score,qa_pass_flag
Q00000061,C00006449,A007,2025-01-24,89.3,96.3,83.3,85.7,1
Q00000062,C00074886,A070,2025-01-19,76.2,69.1,82.8,81.8,0
Q00000063,C00076050,A071,2025-01-11,84.2,75.7,88.7,68.6,1
Q00000064,C00077661,A072,2025-02-08,90.0,81.1,83.6,88.7,1
Q00000065,C00071302,A066,2025-03-16,88.0,87.6,91.6,87.1,1
Q00000066,C00050675,A047,2025-02-25,75.0,77.4,73.1,78.7,0
Q00000067,C00062290,A058,2025-03-12,87.7,91.7,89.1,84.9,1
Q00000068,C00002133,A003,2025-01-23,80.6,86.5,81.1,68.7,1
Q00000069,C00076357,A071,2025-02-02,94.1,89.2,96.5,94.2,1
Q00000070,C00043896,A040,2025-03-06,91.1,89.7,100.0,92.1,1
Q00000071,C00063075,A059,2025-02-09,86.0,91.5,78.6,83.6,1
Q00000072,C00064012,A060,2025-01-31,91.7,85.2,100.0,90.6,1
Q00000073,C00006426,A007,2025-01-23,88.8,98.0,94.6,83.0,1
Q00000074,C00032605,A031,2025-01-20,90.2,83.0,87.9,88.0,1
Q00000075,C00034148,A032,2025-01-31,75.5,75.6,72.9,79.0,0
Q00000076,C00044832,A041,2025-03-11,88.3,88.0,78.4,92.4,1
Q00000077,C00020553,A020,2025-03-09,81.8,81.1,82.2,83.0,1
Q00000078,C00081620,A075,2025-02-07,89.0,87.3,81.4,96.1,1
Q00000079,C00030739,A029,2025-01-23,72.7,70.6,71.1,74.1,0
Q00000080,C00017237,A017,2025-02-14,82.1,85.8,73.9,76.6,1
Q00000081,C00063498,A059,2025-03-27,89.8,88.2,93.7,88.5,1
Q00000082,C00051344,A048,2025-01-30,72.2,68.0,71.5,71.7,0
Q00000083,C00029222,A027,2025-03-22,93.9,96.8,84.9,94.7,1
Q00000084,C00039275,A036,2025-03-07,83.7,86.0,73.4,75.2,1
Q00000085,C00081175,A075,2025-01-10,81.4,74.5,84.9,85.5,0
Q00000086,C00000629,A001,2025-03-05,91.6,90.8,79.2,93.4,1
Q00000087,C00063960,A060,2025-01-30,80.2,92.6,72.4,76.7,1
Q00000088,C00009207,A009,2025-02-19,90.6,96.1,85.2,95.7,1
Q00000089,C00050382,A047,2025-01-29,83.9,84.2,86.7,91.1,1
Q00000090,C00023918,A023,2025-01-27,92.9,94.7,89.8,94.4,1
Q00000091,C00043366,A040,2025-01-08,79.8,69.2,83.7,71.6,0
Q00000092,C00052053,A049,2025-01-13,73.3,71.9,79.4,89.1,0
Q00000093,C00065342,A061,2025-02-22,86.8,85.9,79.8,80.8,1
Q00000094,C00069048,A064,2025-03-13,83.7,83.0,78.8,69.5,1
Q00000095,C00052129,A049,2025-01-21,87.2,82.3,82.8,84.0,1
Q00000096,C00065495,A061,2025-03-05,83.8,84.4,90.9,72.9,1
Q00000097,C00080529,A074,2025-03-06,72.4,70.6,76.7,85.5,0
Q00000098,C00030180,A028,2025-03-04,75.8,77.4,81.3,81.7,0
Q00000099,C00078221,A072,2025-03-18,100.0,96.2,97.8,94.4,1
Q00000100,C00038456,A036,2025-01-10,83.0,81.1,77.6,73.9,1
Q00000101,C00024857,A023,2025-04-03,86.9,89.2,85.9,94.0,1
Q00000102,C00073728,A068,2025-03-31,89.9,86.7,88.1,77.9,1
Q00000103,C00055588,A052,2025-01-12,86.2,83.4,68.6,77.4,1
Q00000104,C00072864,A068,2025-01-30,80.1,74.6,92.2,67.4,0
Q00000105,C00040125,A037,2025-02-19,82.3,85.6,90.5,100.0,1
Q00000106,C00069588,A065,2025-01-17,79.5,72.3,78.9,73.4,0
Q00000107,C00041217,A038,2025-02-15,91.9,100.0,93.0,84.6,1
Q00000108,C00061166,A057,2025-03-09,84.7,87.8,85.7,81.7,1
Q00000109,C00031811,A030,2025-02-02,77.0,81.6,77.6,70.0,0
Q00000110,C00044304,A041,2025-01-22,86.4,81.6,84.8,90.8,1
Q00000111,C00032766,A031,2025-01-28,100.0,99.5,99.4,100.0,1
Q00000112,C00001155,A002,2025-01-15,93.0,88.8,98.3,86.0,1
Q00000113,C00059691,A056,2025-01-21,86.9,82.1,81.3,85.7,1
Q00000114,C00068820,A064,2025-02-19,86.2,85.4,87.2,91.3,1
Q00000115,C00078249,A072,2025-03-15,85.8,81.5,83.8,90.3,1
Q00000116,C00070257,A065,2025-03-31,81.7,71.6,76.8,80.4,0
Q00000117,C00065563,A061,2025-03-08,85.2,83.6,83.3,86.8,1
Q00000118,C00013885,A014,2025-01-19,86.2,94.7,71.8,95.3,1
Q00000119,C00049011,A045,2025-03-21,85.7,89.4,86.9,84.6,1
Q00000120,C00036017,A034,2025-01-09,91.2,88.4,88.4,79.4,1
Q00000121,C00047149,A043,2025-03-19,81.7,83.1,81.2,81.3,1
Q00000122,C00074890,A070,2025-01-13,87.7,84.9,84.1,81.9,1
Q00000123,C00055173,A051,2025-03-05,92.2,96.7,93.4,81.9,1
Q00000124,C00033121,A031,2025-02-23,83.5,78.3,87.0,79.9,1
Q00000125,C00057113,A053,2025-02-17,86.8,92.1,94.0,92.7,1
Q00000126,C00024294,A023,2025-02-24,82.7,84.8,89.3,100.0,1
Q00000127,C00046837,A043,2025-03-02,90.4,96.0,88.6,90.0,1
Q00000128,C00044706,A041,2025-02-25,82.5,75.8,89.2,64.5,1
Q00000129,C00012054,A012,2025-01-10,80.0,82.6,84.1,69.2,1
Q00000130,C00044535,A041,2025-02-04,92.3,100.0,100.0,96.2,1
Q00000131,C00027403,A026,2025-02-18,91.5,87.9,90.6,92.6,1
Q00000132,C00063788,A060,2025-01-22,88.1,86.6,82.3,93.5,1
Q00000133,C00033571,A031,2025-03-28,73.9,87.1,69.1,69.9,0
Q00000134,C00001247,A002,2025-01-26,98.7,85.8,100.0,98.3,1
Q00000135,C00077115,A071,2025-04-01,98.2,100.0,100.0,89.5,1
Q00000136,C00075233,A070,2025-02-13,81.9,84.0,73.0,78.0,1
Q00000137,C00039740,A037,2025-01-18,88.4,79.5,100.0,81.9,1
Q00000138,C00063606,A059,2025-04-06,85.7,83.2,98.3,76.6,1
Q00000139,C00035377,A033,2025-02-07,86.6,76.8,72.8,88.0,1
Q00000140,C00051192,A048,2025-01-14,79.8,79.4,84.6,81.7,0
Q00000141,C00062872,A059,2025-01-22,91.5,89.6,98.4,95.1,1
Q00000142,C00080992,A074,2025-04-06,93.8,87.8,99.3,94.1,1
Q00000143,C00024343,A023,2025-02-26,94.6,95.0,95.0,95.9,1
Q00000144,C00039837,A037,2025-01-26,87.1,99.8,87.0,91.0,1
Q00000145,C00029183,A027,2025-03-23,88.0,85.3,90.4,81.5,1
Q00000146,C00035349,A033,2025-02-07,82.6,82.6,85.1,84.3,1
Q00000147,C00072430,A067,2025-04-02,90.7,87.8,95.9,91.6,1
Q00000148,C00076282,A071,2025-01-28,85.3,86.0,79.7,82.7,1
Q00000149,C00064894,A060,2025-04-05,73.7,66.5,69.4,84.3,0
Q00000150,C00029761,A028,2025-01-25,80.1,82.6,79.9,73.0,1
Q00000151,C00021480,A021,2025-02-17,99.5,95.8,92.3,98.9,1
Q00000152,C00067683,A063,2025-03-04,87.8,88.6,96.5,93.5,1
Q00000153,C00050453,A047,2025-02-04,87.7,81.3,84.4,79.0,1
Q00000154,C00052716,A049,2025-03-02,81.3,80.5,88.2,83.6,1
Q00000155,C00020453,A020,2025-03-04,85.2,91.4,79.9,92.3,1
Q00000156,C00032088,A030,2025-03-01,87.7,85.7,89.6,97.3,1
Q00000157,C00076816,A071,2025-03-07,97.1,95.6,97.5,86.2,1
Q00000158,C00048888,A045,2025-03-08,84.5,87.5,73.6,79.5,1
Q00000159,C00039120,A036,2025-03-04,84.8,78.8,87.9,88.9,1
Q00000160,C00079652,A073,2025-04-04,87.1,85.4,93.8,92.8,1
Q00000161,C00017031,A017,2025-01-25,89.6,84.8,95.5,100.0,1
Q00000162,C00013854,A014,2025-01-09,87.5,81.1,90.4,83.1,1
Q00000163,C00045416,A042,2025-02-04,89.9,87.4,76.5,91.2,1
Q00000164,C00036879,A034,2025-03-15,79.5,83.9,79.6,85.5,0
Q00000165,C00006433,A007,2025-01-22,100.0,100.0,100.0,100.0,1
Q00000166,C00038348,A035,2025-03-30,77.3,77.7,81.6,69.4,0
Q00000167,C00064322,A060,2025-02-16,89.6,90.7,89.9,81.0,1
Q00000168,C00033534,A031,2025-03-19,85.5,87.1,84.7,87.0,1
Q00000169,C00001816,A002,2025-03-23,78.2,79.6,76.1,72.0,0
Q00000170,C00046167,A043,2025-01-07,88.2,97.8,100.0,100.0,1
Q00000171,C00039672,A037,2025-01-08,74.9,76.6,81.6,82.7,0
Q00000172,C00060823,A057,2025-02-01,86.2,91.8,82.2,93.1,1
Q00000173,C00024698,A023,2025-03-26,84.9,79.1,92.2,88.7,1
Q00000174,C00000420,A001,2025-02-09,97.2,92.2,95.4,94.9,1
Q00000175,C00034445,A032,2025-02-19,84.8,82.0,74.8,99.5,1
Q00000176,C00037981,A035,2025-03-14,80.6,80.6,81.8,75.2,1
Q00000177,C00044781,A041,2025-03-05,88.2,88.8,99.0,94.4,1
Q00000178,C00062716,A059,2025-01-10,82.7,79.0,87.0,76.8,1
Q00000179,C00010592,A010,2025-03-11,86.1,83.9,83.4,81.3,1
Q00000180,C00010943,A011,2025-01-06,69.7,66.6,64.7,72.1,0
Q00000181,C00045560,A042,2025-02-18,87.4,85.6,87.1,85.2,1
Q00000182,C00057119,A053,2025-02-13,89.5,94.2,86.7,94.0,1
Q00000183,C00025507,A024,2025-03-09,90.6,96.8,86.7,86.7,1
Q00000184,C00058463,A054,2025-03-29,87.0,85.7,76.4,81.3,1
Q00000185,C00064999,A061,2025-01-08,100.0,97.1,97.2,91.9,1
Q00000186,C00053441,A050,2025-01-18,84.6,87.6,89.0,77.6,1
Q00000187,C00031527,A030,2025-01-11,80.3,73.8,92.3,83.2,0
Q00000188,C00041126,A038,2025-02-10,82.0,79.0,77.1,88.4,1
Q00000189,C00060878,A057,2025-02-08,86.3,87.1,95.0,84.1,1
Q00000190,C00068645,A064,2025-02-12,87.0,94.9,89.3,95.1,1
Q00000191,C00034016,A032,2025-01-25,94.6,97.7,86.2,94.3,1
Q00000192,C00075430,A070,2025-02-28,88.2,87.5,95.1,83.5,1
Q00000193,C00061022,A057,2025-02-22,95.2,89.6,97.7,98.5,1
Q00000194,C00053402,A050,2025-01-14,95.3,86.9,90.9,99.9,1
Q00000195,C00053962,A050,2025-02-19,85.6,80.6,81.3,81.6,1
Q00000196,C00077263,A072,2025-01-11,91.9,95.1,86.6,90.2,1
Q00000197,C00065177,A061,2025-02-05,88.5,90.4,93.6,89.5,1
Q00000198,C00030732,A029,2025-01-19,88.0,84.0,93.7,98.5,1
Q00000199,C00018417,A018,2025-03-07,86.5,90.2,84.4,99.0,1
Q00000200,C00032440,A031,2025-01-06,93.9,84.0,95.3,87.4,1
Q00000201,C00070646,A066,2025-01-31,89.7,98.0,88.9,89.1,1
Q00000202,C00041632,A038,2025-03-18,85.3,81.2,77.9,93.5,1
Q00000203,C00026946,A026,2025-01-11,88.9,100.0,92.7,85.8,1
Q00000204,C00002946,A003,2025-03-14,94.9,100.0,91.5,100.0,1
Q00000205,C00021680,A021,2025-02-27,82.2,75.0,81.3,80.3,1
Q00000206,C00009725,A010,2025-01-14,87.8,85.7,85.0,93.8,1
Q00000207,C00079439,A073,2025-03-14,90.4,85.7,86.9,99.0,1
Q00000208,C00016039,A016,2025-02-12,84.5,87.3,78.4,83.7,1
Q00000209,C00024911,A024,2025-01-04,86.6,88.3,86.7,91.4,1
Q00000210,C00036032,A034,2025-01-15,91.8,95.3,82.9,86.4,1
Q00000211,C00064665,A060,2025-03-20,80.7,83.0,82.1,87.4,1
Q00000212,C00036386,A034,2025-02-11,86.2,81.3,73.1,87.0,1
Q00000213,C00023432,A022,2025-03-22,82.6,71.6,86.2,72.4,0
Q00000214,C00072538,A068,2025-01-12,94.5,98.2,88.7,97.1,1
Q00000215,C00007642,A008,2025-01-15,90.4,80.5,98.3,87.4,1
Q00000216,C00031383,A029,2025-03-28,88.1,87.6,77.4,88.8,1
Q00000217,C00015441,A015,2025-03-26,82.0,84.6,85.0,75.8,1
Q00000218,C00030800,A029,2025-01-25,90.2,89.1,93.4,95.0,1
Q00000219,C00077377,A072,2025-01-21,87.9,91.8,81.5,95.5,1
Q00000220,C00020171,A020,2025-02-08,92.8,94.4,96.7,88.6,1
Q00000221,C00071984,A067,2025-02-21,76.5,77.6,81.2,78.7,0
Q00000222,C00015624,A016,2025-01-16,98.1,100.0,95.9,100.0,1
Q00000223,C00077357,A072,2025-01-11,83.5,87.4,94.4,82.2,1
Q00000224,C00026576,A025,2025-03-20,83.2,85.3,80.1,81.7,1
Q00000225,C00013950,A014,2025-01-29,83.5,76.8,87.8,78.7,1
Q00000226,C00059658,A056,2025-01-22,82.3,78.6,80.3,88.0,1
Q00000227,C00035326,A033,2025-01-29,85.9,78.7,84.0,86.8,1
Q00000228,C00063649,A060,2025-01-07,84.1,76.3,84.6,72.7,1
Q00000229,C00006709,A007,2025-02-08,73.1,81.0,81.7,73.5,0
Q00000230,C00026194,A025,2025-02-15,84.1,84.8,86.5,75.1,1
Q00000231,C00069623,A065,2025-01-29,87.5,86.3,81.1,86.4,1
Q00000232,C00053440,A050,2025-01-10,81.7,83.9,85.4,90.3,1
Q00000233,C00041567,A038,2025-03-12,84.8,86.7,85.4,79.3,1
Q00000234,C00024590,A023,2025-03-14,93.9,99.1,91.1,93.0,1
Q00000235,C00043281,A039,2025-04-01,66.3,67.6,75.5,60.8,0
Q00000236,C00064477,A060,2025-03-06,93.0,86.7,97.0,100.0,1
Q00000237,C00043093,A039,2025-03-27,87.6,80.8,99.5,84.7,1
Q00000238,C00082158,A075,2025-03-21,88.0,83.5,86.8,100.0,1
Q00000239,C00065763,A061,2025-03-26,87.6,87.8,81.6,87.5,1
Q00000240,C00026414,A025,2025-03-11,100.0,99.0,88.2,100.0,1
Q00000241,C00004780,A005,2025-03-01,79.4,78.9,72.7,65.5,0
Q00000242,C00080976,A074,2025-03-31,79.3,76.8,80.0,74.4,0
Q00000243,C00006007,A006,2025-03-27,84.7,87.1,89.0,91.8,1
Q00000244,C00034656,A032,2025-03-13,85.2,80.4,90.1,96.5,1
Q00000245,C00024736,A023,2025-03-24,84.1,86.5,92.3,86.4,1
Q00000246,C00069630,A065,2025-01-24,87.0,85.7,93.6,77.5,1
Q00000247,C00003305,A004,2025-01-09,85.0,82.8,90.0,90.9,1
Q00000248,C00028350,A027,2025-01-21,89.4,90.8,87.1,97.2,1
Q00000249,C00017250,A017,2025-02-18,87.9,89.2,97.5,88.5,1
Q00000250,C00025998,A025,2025-01-29,92.2,88.3,90.1,99.3,1
Q00000251,C00002311,A003,2025-01-29,74.0,78.1,82.0,81.7,0
Q00000252,C00003739,A004,2025-02-27,78.8,86.2,76.3,80.5,0
Q00000253,C00019927,A020,2025-01-21,85.2,89.7,91.6,87.5,1
Q00000254,C00012425,A012,2025-02-23,92.7,80.8,100.0,100.0,1
Q00000255,C00064616,A060,2025-03-16,92.0,91.8,95.7,87.5,1
Q00000256,C00023935,A023,2025-01-28,92.6,96.7,84.7,81.7,1
Q00000257,C00073269,A068,2025-03-02,86.7,85.7,87.7,86.2,1
Q00000258,C00019459,A019,2025-03-01,90.1,90.9,95.5,89.3,1
Q00000259,C00059017,A055,2025-02-20,85.4,86.9,81.4,89.0,1
Q00000260,C00068948,A064,2025-03-04,81.9,76.5,88.0,86.2,1
Q00000261,C00056297,A052,2025-02-28,92.1,86.9,97.3,84.7,1
Q00000262,C00076865,A071,2025-03-09,88.4,80.5,81.9,99.1,1
Q00000263,C00051393,A048,2025-02-04,88.2,92.1,85.9,82.4,1
Q00000264,C00024964,A024,2025-01-16,88.4,91.7,90.5,88.6,1
Q00000265,C00006782,A007,2025-02-14,86.9,92.8,97.2,85.6,1
Q00000266,C00050794,A047,2025-03-16,77.7,77.4,77.0,75.7,0
Q00000267,C00052906,A049,2025-03-12,86.5,88.6,87.5,94.2,1
Q00000268,C00055825,A052,2025-01-28,94.0,100.0,85.0,100.0,1
Q00000269,C00067478,A063,2025-02-18,86.1,86.0,90.1,74.2,1
Q00000270,C00030719,A029,2025-01-16,90.1,78.4,78.4,92.2,1
Q00000271,C00031222,A029,2025-03-09,73.9,69.8,67.4,77.3,0
Q00000272,C00045562,A042,2025-02-16,72.2,74.8,60.4,72.2,0
Q00000273,C00019981,A020,2025-01-24,80.7,79.3,81.3,77.2,1
Q00000274,C00042816,A039,2025-03-12,80.4,80.3,86.5,71.4,1
Q00000275,C00021589,A021,2025-02-26,94.7,100.0,90.2,98.7,1
Q00000276,C00016538,A016,2025-03-21,77.1,68.5,79.5,80.0,0
Q00000277,C00031384,A029,2025-03-21,84.9,90.6,89.1,90.8,1
Q00000278,C00002402,A003,2025-01-30,78.2,75.5,80.4,76.2,0
Q00000279,C00072511,A068,2025-01-09,88.1,84.5,84.5,82.9,1
Q00000280,C00037913,A035,2025-03-08,92.8,91.5,96.1,97.0,1
Q00000281,C00043258,A039,2025-04-02,99.2,100.0,100.0,100.0,1
Q00000282,C00040016,A037,2025-02-11,87.4,81.7,85.3,93.1,1
Q00000283,C00006085,A006,2025-03-25,94.4,95.9,84.2,90.1,1
Q00000284,C00079455,A073,2025-03-15,100.0,98.3,100.0,100.0,1
Q00000285,C00031330,A029,2025-03-21,90.0,72.9,93.4,81.4,0
Q00000286,C00047913,A044,2025-03-06,93.2,94.1,89.2,88.0,1
Q00000287,C00012692,A012,2025-03-11,89.0,81.4,88.7,96.1,1
Q00000288,C00073508,A068,2025-03-21,88.0,86.4,82.3,90.7,1
Q00000289,C00017968,A018,2025-01-19,87.5,87.9,95.2,88.7,1
Q00000290,C00027623,A026,2025-03-07,90.8,94.4,95.4,86.7,1
Q00000291,C00019766,A019,2025-04-03,93.0,82.6,95.3,100.0,1
Q00000292,C00045536,A042,2025-02-16,86.6,89.2,86.1,81.9,1
Q00000293,C00054224,A050,2025-03-13,90.5,99.9,92.0,99.6,1
Q00000294,C00054563,A050,2025-04-06,83.9,83.4,81.0,84.8,1
Q00000295,C00059792,A056,2025-02-01,87.8,87.6,84.1,89.3,1
Q00000296,C00059366,A055,2025-03-19,83.9,78.4,84.9,88.6,1
Q00000297,C00004587,A005,2025-02-10,87.1,86.3,92.8,98.9,1
Q00000298,C00003807,A004,2025-03-07,84.1,79.6,91.2,80.8,1
Q00000299,C00043072,A039,2025-03-26,87.0,84.3,80.9,89.8,1
Q00000300,C00024259,A023,2025-02-22,85.9,86.4,87.5,97.8,1
Q00000301,C00011978,A012,2025-01-10,84.9,87.4,85.9,80.3,1
Q00000302,C00005053,A005,2025-03-28,94.3,92.5,97.5,97.9,1
Q00000303,C00007041,A007,2025-03-11,88.1,86.0,92.4,90.7,1
Q00000304,C00007835,A008,2025-01-26,85.9,87.8,84.0,90.6,1
Q00000305,C00042751,A039,2025-03-07,87.9,89.7,87.8,96.7,1
Q00000306,C00009775,A010,2025-01-16,92.8,100.0,86.5,81.5,1
Q00000307,C00007516,A008,2025-01-04,79.1,85.8,66.6,83.0,0
Q00000308,C00028428,A027,2025-01-27,86.5,90.6,92.8,92.5,1
Q00000309,C00030896,A029,2025-02-09,74.2,67.5,84.1,70.8,0
Q00000310,C00029336,A027,2025-03-31,75.5,75.9,77.4,67.9,0
Q00000311,C00073130,A068,2025-02-18,83.0,72.4,84.5,75.2,0
Q00000312,C00005070,A005,2025-03-26,88.9,90.3,77.9,91.0,1
Q00000313,C00038055,A035,2025-03-12,91.6,95.8,80.6,98.0,1
Q00000314,C00049749,A046,2025-03-03,88.9,92.8,100.0,83.7,1
Q00000315,C00076087,A071,2025-01-13,75.9,70.8,72.6,75.1,0
Q00000316,C00041056,A038,2025-02-04,91.3,100.0,97.0,84.3,1
Q00000317,C00055450,A051,2025-04-02,86.1,81.4,91.7,79.7,1
Q00000318,C00062307,A058,2025-03-08,85.2,85.0,90.5,77.4,1
Q00000319,C00070992,A066,2025-02-27,85.5,90.3,75.7,68.8,1
Q00000320,C00069053,A064,2025-03-14,73.6,76.3,74.5,78.1,0
Q00000321,C00021339,A021,2025-02-09,84.3,83.3,82.7,82.0,1
Q00000322,C00044045,A040,2025-03-19,81.1,88.3,81.4,74.4,1
Q00000323,C00018573,A018,2025-03-20,98.7,100.0,86.6,100.0,1
Q00000324,C00033197,A031,2025-02-24,79.8,79.9,85.0,78.1,0
Q00000325,C00014051,A014,2025-02-08,77.9,83.9,75.9,76.1,0
Q00000326,C00041866,A038,2025-03-27,79.4,75.6,81.4,84.9,0
Q00000327,C00008399,A008,2025-03-03,88.3,86.9,90.5,84.0,1
Q00000328,C00044820,A041,2025-03-02,88.4,82.4,85.4,85.0,1
Q00000329,C00004388,A005,2025-01-29,73.2,80.8,77.8,69.8,0
Q00000330,C00017383,A017,2025-02-25,88.7,80.4,87.9,88.1,1
Q00000331,C00060353,A056,2025-03-19,74.3,80.5,73.8,85.6,0
Q00000332,C00009888,A010,2025-01-23,91.0,88.9,88.3,97.8,1
Q00000333,C00065250,A061,2025-02-11,96.7,94.1,89.6,89.8,1
Q00000334,C00041474,A038,2025-03-03,65.4,71.3,68.6,72.4,0
Q00000335,C00046059,A042,2025-04-03,96.9,98.8,90.7,85.0,1
Q00000336,C00052448,A049,2025-02-10,81.2,79.4,76.3,85.4,1
Q00000337,C00053036,A049,2025-03-18,83.1,85.1,73.9,81.2,1
Q00000338,C00050899,A047,2025-03-23,82.8,77.9,75.6,82.3,1
Q00000339,C00038606,A036,2025-01-19,90.5,92.8,91.6,86.2,1
Q00000340,C00034285,A032,2025-02-07,100.0,100.0,100.0,97.2,1
Q00000341,C00067687,A063,2025-03-10,81.4,85.9,84.9,77.0,1
Q00000342,C00070161,A065,2025-03-16,92.1,92.7,97.2,90.7,1
Q00000343,C00042474,A039,2025-02-11,95.0,92.9,95.9,91.4,1
Q00000344,C00012726,A012,2025-03-21,84.2,82.5,85.3,81.2,1
Q00000345,C00010707,A010,2025-03-22,75.3,69.1,83.6,78.4,0
Q00000346,C00038610,A036,2025-01-21,75.8,78.9,68.5,69.1,0
Q00000347,C00057648,A054,2025-01-15,89.4,94.6,89.4,88.4,1
Q00000348,C00071322,A066,2025-03-14,75.8,68.8,79.5,63.4,0
Q00000349,C00042436,A039,2025-02-10,74.0,74.5,77.0,68.2,0
Q00000350,C00011763,A011,2025-03-23,80.9,75.9,80.8,83.3,1
Q00000351,C00044072,A040,2025-03-21,86.5,94.4,83.1,92.8,1
Q00000352,C00050428,A047,2025-02-03,79.4,63.7,84.0,64.2,0
Q00000353,C00070983,A066,2025-02-22,86.4,86.4,83.0,89.2,1
Q00000354,C00027955,A026,2025-03-26,79.1,82.7,68.6,89.4,0
Q00000355,C00058084,A054,2025-02-16,79.0,70.7,71.4,73.7,0
Q00000356,C00014488,A014,2025-03-25,78.4,76.7,86.6,77.1,0
