case_id,activity_id,master_agent_id,case_date,case_start,case_end,case_type,case_complexity,case_turnaround_hours,case_sla_met_flag
CS00000067,ACT00000350,A001,2025-01-17,2025-01-17 13:53:00,2025-01-17 14:26:00,Eligibility,Low,9.3,1
CS00000068,ACT00000353,A001,2025-01-17,2025-01-17 14:34:00,2025-01-17 14:48:00,Appeal,Low,12.1,1
CS00000069,ACT00000354,A001,2025-01-17,2025-01-17 14:48:00,2025-01-17 15:07:00,Prior Authorization,Medium,13.3,1
CS00000070,ACT00000358,A001,2025-01-20,2025-01-20 07:13:00,2025-01-20 07:28:00,Documentation,Low,7.6,1
CS00000071,ACT00000363,A001,2025-01-20,2025-01-20 08:18:00,2025-01-20 08:42:00,Appeal,Low,0.6,1
CS00000072,ACT00000364,A001,2025-01-20,2025-01-20 08:42:00,2025-01-20 09:26:00,Documentation,Medium,10.4,1
CS00000073,ACT00000370,A001,2025-01-20,2025-01-20 10:41:00,2025-01-20 11:00:00,Follow Up,Medium,19.6,1
CS00000074,ACT00000374,A001,2025-01-20,2025-01-20 11:58:00,2025-01-20 12:27:00,Documentation,Low,9.6,0
CS00000075,ACT00000375,A001,2025-01-20,2025-01-20 12:28:00,2025-01-20 13:09:00,Eligibility,Low,4.6,0
CS00000076,ACT00000378,A001,2025-01-20,2025-01-20 14:14:00,2025-01-20 14:49:00,Eligibility,Low,0.9,1
CS00000077,ACT00000380,A001,2025-01-20,2025-01-20 14:57:00,2025-01-20 15:37:00,Appeal,High,34.3,0
CS00000078,ACT00000381,A001,2025-01-20,2025-01-20 15:37:00,2025-01-20 15:56:00,Follow Up,Low,5.8,1
CS00000079,ACT00000400,A001,2025-01-21,2025-01-21 12:15:00,2025-01-21 12:57:00,Follow Up,Low,16.5,1
CS00000080,ACT00000406,A001,2025-01-21,2025-01-21 13:59:00,2025-01-21 14:22:00,Documentation,Low,4.2,1
CS00000081,ACT00000416,A001,2025-01-22,2025-01-22 07:42:00,2025-01-22 08:06:00,Appeal,Low,0.5,1
CS00000082,ACT00000419,A001,2025-01-22,2025-01-22 08:31:00,2025-01-22 09:04:00,Documentation,Low,13.6,1
CS00000083,ACT00000423,A001,2025-01-22,2025-01-22 10:36:00,2025-01-22 10:56:00,Documentation,Medium,21.7,1
CS00000084,ACT00000428,A001,2025-01-22,2025-01-22 12:54:00,2025-01-22 13:34:00,Eligibility,Low,0.5,1
CS00000085,ACT00000434,A001,2025-01-22,2025-01-22 14:31:00,2025-01-22 15:07:00,Documentation,Medium,27.3,1
CS00000086,ACT00000435,A001,2025-01-22,2025-01-22 15:07:00,2025-01-22 15:52:00,Prior Authorization,Low,11.2,1
CS00000087,ACT00000444,A001,2025-01-23,2025-01-23 08:34:00,2025-01-23 09:16:00,Documentation,High,37.6,1
CS00000088,ACT00000448,A001,2025-01-23,2025-01-23 10:31:00,2025-01-23 11:00:00,Follow Up,High,43.5,1
CS00000089,ACT00000458,A001,2025-01-23,2025-01-23 14:09:00,2025-01-23 14:24:00,Prior Authorization,Low,14.8,1
CS00000090,ACT00000459,A001,2025-01-23,2025-01-23 14:24:00,2025-01-23 14:40:00,Eligibility,High,35.6,1
CS00000091,ACT00000462,A001,2025-01-23,2025-01-23 15:19:00,2025-01-23 15:27:00,Eligibility,Medium,18.8,1
CS00000092,ACT00000481,A001,2025-01-24,2025-01-24 11:56:00,2025-01-24 12:33:00,Appeal,Low,17.7,1
CS00000093,ACT00000493,A001,2025-01-25,2025-01-25 07:00:00,2025-01-25 07:28:00,Prior Authorization,Low,13.3,1
CS00000094,ACT00000497,A001,2025-01-25,2025-01-25 09:10:00,2025-01-25 09:40:00,Prior Authorization,Low,15.7,1
CS00000095,ACT00000500,A001,2025-01-25,2025-01-25 10:18:00,2025-01-25 10:28:00,Follow Up,Low,3.4,1
CS00000096,ACT00000507,A001,2025-01-25,2025-01-25 12:14:00,2025-01-25 12:49:00,Follow Up,Low,9.6,1
CS00000097,ACT00000513,A001,2025-01-25,2025-01-25 14:37:00,2025-01-25 14:46:00,Prior Authorization,Low,7.4,1
CS00000098,ACT00000524,A001,2025-01-26,2025-01-26 08:37:00,2025-01-26 08:45:00,Follow Up,High,62.7,1
CS00000099,ACT00000533,A001,2025-01-26,2025-01-26 11:58:00,2025-01-26 12:24:00,Eligibility,Low,11.5,1
CS00000100,ACT00000540,A001,2025-01-26,2025-01-26 13:33:00,2025-01-26 14:03:00,Follow Up,High,18.5,1
CS00000101,ACT00000551,A001,2025-01-27,2025-01-27 08:53:00,2025-01-27 09:36:00,Appeal,Low,13.3,1
CS00000102,ACT00000554,A001,2025-01-27,2025-01-27 10:06:00,2025-01-27 10:18:00,Documentation,Low,5.4,1
CS00000103,ACT00000557,A001,2025-01-27,2025-01-27 10:42:00,2025-01-27 11:00:00,Appeal,Low,14.1,1
CS00000104,ACT00000560,A001,2025-01-27,2025-01-27 11:41:00,2025-01-27 12:25:00,Follow Up,Low,7.7,1
CS00000105,ACT00000561,A001,2025-01-27,2025-01-27 12:25:00,2025-01-27 12:43:00,Eligibility,Low,3.7,1
CS00000106,ACT00000565,A001,2025-01-27,2025-01-27 13:30:00,2025-01-27 14:04:00,Appeal,Low,5.0,1
CS00000107,ACT00000571,A001,2025-01-27,2025-01-27 15:08:00,2025-01-27 15:40:00,Documentation,Low,0.5,1
CS00000108,ACT00000575,A001,2025-01-28,2025-01-28 07:19:00,2025-01-28 07:27:00,Eligibility,Medium,25.2,1
CS00000109,ACT00000576,A001,2025-01-28,2025-01-28 07:27:00,2025-01-28 07:43:00,Appeal,Medium,5.8,1
CS00000110,ACT00000578,A001,2025-01-28,2025-01-28 07:59:00,2025-01-28 08:25:00,Appeal,Low,9.0,1
CS00000111,ACT00000581,A001,2025-01-28,2025-01-28 09:06:00,2025-01-28 09:45:00,Documentation,Low,9.0,1
CS00000112,ACT00000591,A001,2025-01-28,2025-01-28 11:54:00,2025-01-28 12:39:00,Appeal,Low,10.8,1
CS00000113,ACT00000597,A001,2025-01-28,2025-01-28 14:15:00,2025-01-28 14:56:00,Follow Up,High,36.2,0
CS00000114,ACT00000612,A001,2025-01-29,2025-01-29 08:48:00,2025-01-29 09:00:00,Follow Up,Medium,8.1,1
CS00000115,ACT00000627,A001,2025-01-29,2025-01-29 12:33:00,2025-01-29 13:10:00,Prior Authorization,Low,9.9,1
CS00000116,ACT00000630,A001,2025-01-29,2025-01-29 13:39:00,2025-01-29 13:58:00,Eligibility,Low,1.7,1
CS00000117,ACT00000633,A001,2025-01-29,2025-01-29 14:32:00,2025-01-29 14:40:00,Follow Up,Medium,31.2,1
CS00000118,ACT00000634,A001,2025-01-29,2025-01-29 14:42:00,2025-01-29 15:11:00,Follow Up,Medium,13.7,1
CS00000119,ACT00000645,A001,2025-01-31,2025-01-31 09:12:00,2025-01-31 09:57:00,Follow Up,Low,2.3,1
CS00000120,ACT00000659,A001,2025-01-31,2025-01-31 13:04:00,2025-01-31 13:35:00,Eligibility,Medium,17.1,1
CS00000121,ACT00000662,A001,2025-01-31,2025-01-31 14:04:00,2025-01-31 14:30:00,Documentation,Medium,23.6,1
CS00000122,ACT00000666,A001,2025-01-31,2025-01-31 15:21:00,2025-01-31 15:48:00,Documentation,Low,3.8,1
CS00000123,ACT00000669,A001,2025-02-03,2025-02-03 07:00:00,2025-02-03 07:40:00,Appeal,Medium,40.7,1
CS00000124,ACT00000672,A001,2025-02-03,2025-02-03 09:17:00,2025-02-03 09:46:00,Follow Up,Low,12.8,1
CS00000125,ACT00000685,A001,2025-02-03,2025-02-03 13:21:00,2025-02-03 13:42:00,Prior Authorization,High,21.3,1
CS00000126,ACT00000687,A001,2025-02-03,2025-02-03 13:52:00,2025-02-03 14:03:00,Eligibility,High,44.1,0
CS00000127,ACT00000690,A001,2025-02-03,2025-02-03 14:20:00,2025-02-03 14:36:00,Documentation,Low,9.0,1
CS00000128,ACT00000694,A001,2025-02-03,2025-02-03 15:48:00,2025-02-03 16:00:00,Follow Up,Low,12.6,1
CS00000129,ACT00000718,A001,2025-02-04,2025-02-04 13:46:00,2025-02-04 14:30:00,Prior Authorization,Medium,44.4,1
CS00000130,ACT00000720,A001,2025-02-04,2025-02-04 15:12:00,2025-02-04 15:25:00,Eligibility,High,29.1,1
CS00000131,ACT00000724,A001,2025-02-05,2025-02-05 07:23:00,2025-02-05 07:58:00,Follow Up,Low,6.6,1
CS00000132,ACT00000728,A001,2025-02-05,2025-02-05 08:45:00,2025-02-05 09:04:00,Follow Up,High,15.8,1
CS00000133,ACT00000732,A001,2025-02-05,2025-02-05 10:11:00,2025-02-05 10:50:00,Appeal,Medium,22.7,1
CS00000134,ACT00000750,A001,2025-02-06,2025-02-06 07:00:00,2025-02-06 07:11:00,Prior Authorization,High,27.0,1
CS00000135,ACT00000763,A001,2025-02-06,2025-02-06 11:49:00,2025-02-06 12:06:00,Documentation,Medium,7.0,1
CS00000136,ACT00000771,A001,2025-02-06,2025-02-06 14:21:00,2025-02-06 15:02:00,Appeal,High,21.8,0
CS00000137,ACT00000775,A001,2025-02-06,2025-02-06 15:45:00,2025-02-06 16:00:00,Appeal,High,45.3,1
CS00000138,ACT00000777,A001,2025-02-07,2025-02-07 07:20:00,2025-02-07 08:03:00,Documentation,Low,9.4,1
CS00000139,ACT00000786,A001,2025-02-07,2025-02-07 09:47:00,2025-02-07 10:28:00,Documentation,Medium,17.8,1
CS00000140,ACT00000798,A001,2025-02-07,2025-02-07 14:11:00,2025-02-07 14:43:00,Documentation,Medium,20.9,1
CS00000141,ACT00000803,A001,2025-02-09,2025-02-09 07:00:00,2025-02-09 07:22:00,Eligibility,Medium,23.3,0
CS00000142,ACT00000806,A001,2025-02-09,2025-02-09 07:43:00,2025-02-09 08:05:00,Prior Authorization,Medium,19.2,1
CS00000143,ACT00000811,A001,2025-02-09,2025-02-09 09:22:00,2025-02-09 10:05:00,Appeal,Medium,16.9,0
CS00000144,ACT00000813,A001,2025-02-09,2025-02-09 10:19:00,2025-02-09 10:47:00,Eligibility,Low,3.0,1
CS00000145,ACT00000817,A001,2025-02-09,2025-02-09 11:34:00,2025-02-09 11:46:00,Follow Up,Low,8.6,0
CS00000146,ACT00000821,A001,2025-02-09,2025-02-09 13:36:00,2025-02-09 13:50:00,Documentation,Low,8.9,1
CS00000147,ACT00000831,A001,2025-02-10,2025-02-10 07:57:00,2025-02-10 08:41:00,Follow Up,High,37.1,1
CS00000148,ACT00000833,A001,2025-02-10,2025-02-10 08:58:00,2025-02-10 09:27:00,Eligibility,Medium,21.6,0
CS00000149,ACT00000835,A001,2025-02-10,2025-02-10 09:36:00,2025-02-10 09:44:00,Follow Up,Low,11.1,0
CS00000150,ACT00000841,A001,2025-02-10,2025-02-10 11:48:00,2025-02-10 12:10:00,Follow Up,Medium,28.9,1
CS00000151,ACT00000844,A001,2025-02-10,2025-02-10 12:44:00,2025-02-10 13:03:00,Appeal,Medium,35.7,1
CS00000152,ACT00000847,A001,2025-02-10,2025-02-10 13:35:00,2025-02-10 14:12:00,Prior Authorization,Low,6.0,1
CS00000153,ACT00000850,A001,2025-02-10,2025-02-10 14:50:00,2025-02-10 15:18:00,Appeal,High,41.9,1
CS00000154,ACT00000883,A001,2025-02-11,2025-02-11 15:41:00,2025-02-11 16:00:00,Eligibility,High,5.8,1
CS00000155,ACT00000887,A001,2025-02-12,2025-02-12 07:30:00,2025-02-12 07:44:00,Appeal,Medium,39.0,1
CS00000156,ACT00000891,A001,2025-02-12,2025-02-12 08:39:00,2025-02-12 08:55:00,Documentation,High,47.6,1
CS00000157,ACT00000893,A001,2025-02-12,2025-02-12 09:06:00,2025-02-12 09:16:00,Follow Up,Low,10.5,1
CS00000158,ACT00000896,A001,2025-02-12,2025-02-12 09:48:00,2025-02-12 10:21:00,Follow Up,Low,8.7,1
CS00000159,ACT00000898,A001,2025-02-12,2025-02-12 10:53:00,2025-02-12 11:00:00,Appeal,High,46.8,1
CS00000160,ACT00000903,A001,2025-02-12,2025-02-12 11:55:00,2025-02-12 12:05:00,Eligibility,High,37.0,1
CS00000161,ACT00000904,A001,2025-02-12,2025-02-12 12:05:00,2025-02-12 12:27:00,Appeal,Low,12.0,1
CS00000162,ACT00000907,A001,2025-02-12,2025-02-12 12:42:00,2025-02-12 12:53:00,Eligibility,Low,7.7,1
CS00000163,ACT00000908,A001,2025-02-12,2025-02-12 12:54:00,2025-02-12 13:24:00,Prior Authorization,Low,4.6,1
CS00000164,ACT00000925,A001,2025-02-13,2025-02-13 08:27:00,2025-02-13 08:36:00,Prior Authorization,Low,2.8,1
CS00000165,ACT00000930,A001,2025-02-13,2025-02-13 09:53:00,2025-02-13 10:37:00,Documentation,Medium,3.7,1
CS00000166,ACT00000932,A001,2025-02-13,2025-02-13 10:52:00,2025-02-13 11:00:00,Appeal,Low,10.7,1
CS00000167,ACT00000940,A001,2025-02-13,2025-02-13 13:27:00,2025-02-13 13:52:00,Documentation,Medium,13.2,1
CS00000168,ACT00000945,A001,2025-02-13,2025-02-13 15:00:00,2025-02-13 15:09:00,Eligibility,Medium,24.5,1
CS00000169,ACT00000947,A001,2025-02-13,2025-02-13 15:25:00,2025-02-13 15:33:00,Eligibility,Low,5.8,1
CS00000170,ACT00000948,A001,2025-02-13,2025-02-13 15:33:00,2025-02-13 15:41:00,Prior Authorization,High,8.1,0
CS00000171,ACT00000955,A001,2025-02-14,2025-02-14 08:43:00,2025-02-14 09:18:00,Follow Up,Low,6.5,0
CS00000172,ACT00000956,A001,2025-02-14,2025-02-14 09:18:00,2025-02-14 09:45:00,Eligibility,Medium,20.2,1
CS00000173,ACT00000964,A001,2025-02-14,2025-02-14 13:47:00,2025-02-14 14:30:00,Eligibility,Low,11.5,1
CS00000174,ACT00000972,A001,2025-02-17,2025-02-17 07:36:00,2025-02-17 07:44:00,Prior Authorization,Low,4.8,1
CS00000175,ACT00000987,A001,2025-02-17,2025-02-17 12:14:00,2025-02-17 12:52:00,Eligibility,Medium,23.6,1
CS00000176,ACT00000988,A001,2025-02-17,2025-02-17 12:52:00,2025-02-17 13:28:00,Documentation,High,43.5,1
CS00000177,ACT00000990,A001,2025-02-17,2025-02-17 13:48:00,2025-02-17 14:15:00,Appeal,Medium,23.9,0
CS00000178,ACT00000991,A001,2025-02-17,2025-02-17 14:15:00,2025-02-17 14:32:00,Appeal,Low,4.7,1
CS00000179,ACT00000995,A001,2025-02-17,2025-02-17 15:19:00,2025-02-17 15:45:00,Follow Up,Low,15.8,1
CS00000180,ACT00000999,A001,2025-02-18,2025-02-18 07:43:00,2025-02-18 08:10:00,Follow Up,Low,0.5,0
CS00000181,ACT00001004,A001,2025-02-18,2025-02-18 09:19:00,2025-02-18 09:58:00,Prior Authorization,High,31.8,0
CS00000182,ACT00001007,A001,2025-02-18,2025-02-18 10:26:00,2025-02-18 10:38:00,Documentation,Low,5.9,1
CS00000183,ACT00001012,A001,2025-02-18,2025-02-18 12:16:00,2025-02-18 12:41:00,Follow Up,Low,7.6,1
CS00000184,ACT00001014,A001,2025-02-18,2025-02-18 13:00:00,2025-02-18 13:24:00,Documentation,High,25.1,1
CS00000185,ACT00001016,A001,2025-02-18,2025-02-18 13:38:00,2025-02-18 14:20:00,Follow Up,High,45.4,0
CS00000186,ACT00001024,A001,2025-02-19,2025-02-19 09:43:00,2025-02-19 10:01:00,Documentation,Low,8.2,1
CS00000187,ACT00001028,A001,2025-02-19,2025-02-19 10:47:00,2025-02-19 11:00:00,Appeal,Low,2.6,1
CS00000188,ACT00001040,A001,2025-02-19,2025-02-19 14:09:00,2025-02-19 14:52:00,Eligibility,Low,5.2,1
CS00000189,ACT00001049,A001,2025-02-20,2025-02-20 07:16:00,2025-02-20 07:34:00,Appeal,Low,11.3,1
CS00000190,ACT00001054,A001,2025-02-20,2025-02-20 08:24:00,2025-02-20 08:54:00,Follow Up,Low,12.0,1
CS00000191,ACT00001056,A001,2025-02-20,2025-02-20 09:08:00,2025-02-20 09:17:00,Documentation,Medium,20.3,1
CS00000192,ACT00001057,A001,2025-02-20,2025-02-20 09:17:00,2025-02-20 09:39:00,Eligibility,High,36.9,1
CS00000193,ACT00001066,A001,2025-02-20,2025-02-20 13:03:00,2025-02-20 13:42:00,Documentation,Low,6.2,1
CS00000194,ACT00001069,A001,2025-02-20,2025-02-20 14:06:00,2025-02-20 14:23:00,Prior Authorization,Medium,13.8,1
CS00000195,ACT00001075,A001,2025-02-20,2025-02-20 15:30:00,2025-02-20 15:50:00,Follow Up,Medium,16.4,1
CS00000196,ACT00001085,A001,2025-02-21,2025-02-21 09:20:00,2025-02-21 09:59:00,Documentation,High,14.8,0
CS00000197,ACT00001096,A001,2025-02-21,2025-02-21 13:46:00,2025-02-21 14:08:00,Eligibility,Medium,11.3,1
CS00000198,ACT00001100,A001,2025-02-21,2025-02-21 15:01:00,2025-02-21 15:39:00,Prior Authorization,High,49.3,0
CS00000199,ACT00001104,A001,2025-02-24,2025-02-24 07:11:00,2025-02-24 07:22:00,Documentation,Low,0.5,1
CS00000200,ACT00001112,A001,2025-02-24,2025-02-24 10:25:00,2025-02-24 10:59:00,Eligibility,High,35.4,1
CS00000201,ACT00001116,A001,2025-02-24,2025-02-24 12:04:00,2025-02-24 12:19:00,Eligibility,High,52.4,1
CS00000202,ACT00001131,A001,2025-02-25,2025-02-25 07:00:00,2025-02-25 07:45:00,Eligibility,Medium,17.7,1
CS00000203,ACT00001135,A001,2025-02-25,2025-02-25 08:26:00,2025-02-25 08:34:00,Eligibility,Low,3.9,1
CS00000204,ACT00001137,A001,2025-02-25,2025-02-25 08:55:00,2025-02-25 09:10:00,Appeal,High,20.4,0
CS00000205,ACT00001138,A001,2025-02-25,2025-02-25 09:10:00,2025-02-25 09:38:00,Eligibility,High,45.7,1
CS00000206,ACT00001142,A001,2025-02-25,2025-02-25 10:24:00,2025-02-25 11:00:00,Appeal,Low,9.9,1
CS00000207,ACT00001147,A001,2025-02-25,2025-02-25 12:39:00,2025-02-25 13:14:00,Documentation,Medium,20.3,1
CS00000208,ACT00001149,A001,2025-02-25,2025-02-25 13:31:00,2025-02-25 13:56:00,Follow Up,High,39.6,1
CS00000209,ACT00001154,A001,2025-02-25,2025-02-25 15:39:00,2025-02-25 15:47:00,Follow Up,Low,7.3,1
CS00000210,ACT00001155,A001,2025-02-25,2025-02-25 15:49:00,2025-02-25 16:00:00,Appeal,High,28.7,1
CS00000211,ACT00001169,A001,2025-02-27,2025-02-27 10:53:00,2025-02-27 11:00:00,Appeal,Low,11.3,0
CS00000212,ACT00001176,A001,2025-02-27,2025-02-27 12:51:00,2025-02-27 13:13:00,Follow Up,Low,0.5,1
CS00000213,ACT00001179,A001,2025-02-27,2025-02-27 13:34:00,2025-02-27 13:48:00,Appeal,Medium,15.7,0
CS00000214,ACT00001182,A001,2025-02-27,2025-02-27 15:34:00,2025-02-27 15:55:00,Follow Up,Low,12.3,1
CS00000215,ACT00001185,A001,2025-02-28,2025-02-28 07:16:00,2025-02-28 07:54:00,Prior Authorization,Low,1.1,1
CS00000216,ACT00001186,A001,2025-02-28,2025-02-28 07:57:00,2025-02-28 08:17:00,Prior Authorization,Low,6.5,1
