call_id,activity_id,master_agent_id,call_date,call_start,call_end,queue,talk_seconds,hold_seconds,after_call_work_seconds,answer_speed_seconds,sla_seconds,sla_met_flag,abandoned_flag,customer_id,aht_seconds
C00000047,ACT00000087,A001,2025-01-06,2025-01-06 10:20:00,2025-01-06 10:34:00,Billing Support,558,29,253,71,90,1,0,CU0009458,840
C00000048,ACT00000088,A001,2025-01-06,2025-01-06 10:37:00,2025-01-06 10:50:00,Member Services,654,18,108,3,60,1,0,CU0000936,780
C00000049,ACT00000091,A001,2025-01-06,2025-01-06 11:30:00,2025-01-06 11:45:00,Billing Support,553,136,211,32,90,1,0,CU0003960,900
C00000050,ACT00000092,A001,2025-01-06,2025-01-06 11:45:00,2025-01-06 12:01:00,Billing Support,654,131,175,51,90,1,0,CU0013430,960
C00000051,ACT00000096,A001,2025-01-06,2025-01-06 13:22:00,2025-01-06 13:36:00,Claims Support,645,56,139,5,120,1,0,CU0007203,840
C00000052,ACT00000097,A001,2025-01-06,2025-01-06 13:36:00,2025-01-06 13:49:00,Claims Support,628,9,143,46,120,1,0,CU0018203,780
C00000053,ACT00000098,A001,2025-01-06,2025-01-06 13:49:00,2025-01-06 14:06:00,Technical Support,759,19,242,12,180,1,0,CU0009365,1020
C00000054,ACT00000099,A001,2025-01-06,2025-01-06 14:06:00,2025-01-06 14:20:00,Claims Support,675,16,149,90,120,1,0,CU0003493,840
C00000055,ACT00000100,A001,2025-01-06,2025-01-06 14:20:00,2025-01-06 14:36:00,Member Services,895,35,30,99,60,0,0,CU0012726,960
C00000056,ACT00000101,A001,2025-01-06,2025-01-06 14:36:00,2025-01-06 14:45:00,Member Services,303,12,225,37,60,1,0,CU0013935,540
C00000057,ACT00000102,A001,2025-01-06,2025-01-06 14:45:00,2025-01-06 14:55:00,Billing Support,395,26,179,52,90,1,0,CU0009773,600
C00000058,ACT00000103,A001,2025-01-06,2025-01-06 14:55:00,2025-01-06 15:08:00,Billing Support,511,28,241,38,90,1,0,CU0001064,780
C00000059,ACT00000106,A001,2025-01-06,2025-01-06 15:37:00,2025-01-06 15:53:00,Claims Support,868,30,62,18,120,1,0,CU0019140,960
C00000060,ACT00000109,A001,2025-01-07,2025-01-07 07:31:00,2025-01-07 07:42:00,Claims Support,257,150,253,16,120,1,0,CU0019250,660
C00000061,ACT00000113,A001,2025-01-07,2025-01-07 09:45:00,2025-01-07 09:58:00,Claims Support,497,111,172,145,120,0,0,CU0007260,780
C00000062,ACT00000115,A001,2025-01-07,2025-01-07 10:23:00,2025-01-07 10:36:00,Claims Support,534,109,137,94,120,1,0,CU0009695,780
C00000063,ACT00000116,A001,2025-01-07,2025-01-07 10:36:00,2025-01-07 10:52:00,Claims Support,821,54,85,215,120,0,0,CU0001824,960
C00000064,ACT00000119,A001,2025-01-07,2025-01-07 11:30:00,2025-01-07 11:44:00,Technical Support,551,97,192,83,180,1,0,CU0003659,840
C00000065,ACT00000121,A001,2025-01-07,2025-01-07 13:37:00,2025-01-07 13:50:00,Billing Support,548,81,151,149,90,0,0,CU0014984,780
C00000066,ACT00000123,A001,2025-01-07,2025-01-07 14:34:00,2025-01-07 14:52:00,Technical Support,941,48,91,15,180,1,0,CU0003253,1080
C00000067,ACT00000126,A001,2025-01-07,2025-01-07 15:34:00,2025-01-07 15:48:00,Billing Support,570,82,188,94,90,0,0,CU0016313,840
C00000068,ACT00000127,A001,2025-01-07,2025-01-07 15:50:00,2025-01-07 16:00:00,Claims Support,159,237,204,9,120,1,0,CU0014743,600
C00000069,ACT00000129,A001,2025-01-08,2025-01-08 07:38:00,2025-01-08 07:46:00,Member Services,274,50,156,29,60,1,0,CU0003350,480
C00000070,ACT00000130,A001,2025-01-08,2025-01-08 07:49:00,2025-01-08 07:59:00,Member Services,339,32,229,123,60,0,0,CU0010017,600
C00000071,ACT00000132,A001,2025-01-08,2025-01-08 08:42:00,2025-01-08 08:55:00,Member Services,627,13,140,26,60,1,0,CU0009383,780
C00000072,ACT00000133,A001,2025-01-08,2025-01-08 08:58:00,2025-01-08 09:14:00,Technical Support,722,79,159,25,180,1,0,CU0012580,960
C00000073,ACT00000138,A001,2025-01-08,2025-01-08 10:40:00,2025-01-08 10:59:00,Claims Support,939,27,174,25,120,1,0,CU0005838,1140
C00000074,ACT00000142,A001,2025-01-08,2025-01-08 12:12:00,2025-01-08 12:21:00,Member Services,469,17,54,4,60,1,0,CU0002089,540
C00000075,ACT00000143,A001,2025-01-08,2025-01-08 12:24:00,2025-01-08 12:31:00,Member Services,164,26,230,108,60,0,0,CU0017494,420
C00000076,ACT00000146,A001,2025-01-08,2025-01-08 13:24:00,2025-01-08 13:43:00,Billing Support,895,46,199,59,90,1,0,CU0008813,1140
C00000077,ACT00000147,A001,2025-01-08,2025-01-08 13:43:00,2025-01-08 14:01:00,Billing Support,823,43,214,13,90,1,0,CU0016446,1080
C00000078,ACT00000148,A001,2025-01-08,2025-01-08 14:01:00,2025-01-08 14:11:00,Claims Support,501,4,95,125,120,0,0,CU0015767,600
C00000079,ACT00000150,A001,2025-01-08,2025-01-08 14:56:00,2025-01-08 15:15:00,Technical Support,898,89,153,7,180,1,0,CU0003792,1140
C00000080,ACT00000152,A001,2025-01-08,2025-01-08 15:28:00,2025-01-08 15:44:00,Member Services,805,17,138,23,60,1,0,CU0002290,960
C00000081,ACT00000153,A001,2025-01-08,2025-01-08 15:44:00,2025-01-08 15:59:00,Claims Support,720,45,135,66,120,1,0,CU0004513,900
C00000082,ACT00000154,A001,2025-01-08,2025-01-08 15:59:00,2025-01-08 16:00:00,Claims Support,60,60,135,27,120,1,0,CU0000798,255
C00000083,ACT00000155,A001,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:20:00,Technical Support,955,70,175,60,180,1,0,CU0001892,1200
C00000084,ACT00000156,A001,2025-01-09,2025-01-09 07:20:00,2025-01-09 07:36:00,Claims Support,724,67,169,46,120,1,0,CU0002293,960
C00000085,ACT00000157,A001,2025-01-09,2025-01-09 07:37:00,2025-01-09 07:46:00,Member Services,303,12,225,13,60,1,0,CU0014230,540
C00000086,ACT00000158,A001,2025-01-09,2025-01-09 07:46:00,2025-01-09 08:02:00,Billing Support,546,193,221,30,90,1,0,CU0008592,960
C00000087,ACT00000159,A001,2025-01-09,2025-01-09 08:02:00,2025-01-09 08:16:00,Technical Support,639,41,160,22,180,1,0,CU0007717,840
C00000088,ACT00000160,A001,2025-01-09,2025-01-09 08:16:00,2025-01-09 08:31:00,Billing Support,776,29,95,91,90,0,0,CU0012640,900
C00000089,ACT00000161,A001,2025-01-09,2025-01-09 08:31:00,2025-01-09 08:39:00,Member Services,260,8,212,37,60,1,0,CU0003719,480
C00000090,ACT00000165,A001,2025-01-09,2025-01-09 09:10:00,2025-01-09 09:31:00,Technical Support,1049,41,170,18,180,1,0,CU0005962,1260
C00000091,ACT00000166,A001,2025-01-09,2025-01-09 09:31:00,2025-01-09 09:45:00,Claims Support,617,2,221,51,120,1,0,CU0017271,840
C00000092,ACT00000168,A001,2025-01-09,2025-01-09 10:24:00,2025-01-09 10:46:00,Technical Support,1179,24,117,16,180,1,0,CU0005117,1320
C00000093,ACT00000172,A001,2025-01-09,2025-01-09 12:08:00,2025-01-09 12:17:00,Member Services,305,69,166,9,60,1,0,CU0003662,540
C00000094,ACT00000173,A001,2025-01-09,2025-01-09 12:17:00,2025-01-09 12:30:00,Billing Support,444,48,288,16,90,1,0,CU0000893,780
C00000095,ACT00000174,A001,2025-01-09,2025-01-09 12:30:00,2025-01-09 12:43:00,Claims Support,509,39,232,3,120,1,0,CU0000287,780
C00000096,ACT00000175,A001,2025-01-09,2025-01-09 12:43:00,2025-01-09 13:01:00,Technical Support,909,2,169,12,180,1,0,CU0008343,1080
C00000097,ACT00000177,A001,2025-01-09,2025-01-09 13:35:00,2025-01-09 13:46:00,Billing Support,401,3,256,12,90,1,0,CU0014793,660
C00000098,ACT00000179,A001,2025-01-09,2025-01-09 14:15:00,2025-01-09 14:31:00,Claims Support,914,16,30,1,120,1,0,CU0002620,960
C00000099,ACT00000180,A001,2025-01-09,2025-01-09 14:31:00,2025-01-09 14:39:00,Billing Support,182,118,180,43,90,1,0,CU0008003,480
C00000100,ACT00000183,A001,2025-01-09,2025-01-09 15:46:00,2025-01-09 16:00:00,Technical Support,547,8,285,124,180,1,0,CU0013056,840
C00000101,ACT00000185,A001,2025-01-10,2025-01-10 07:30:00,2025-01-10 07:48:00,Billing Support,874,60,146,6,90,1,0,CU0007278,1080
C00000102,ACT00000187,A001,2025-01-10,2025-01-10 08:18:00,2025-01-10 08:36:00,Billing Support,972,22,86,83,90,1,0,CU0014812,1080
C00000103,ACT00000188,A001,2025-01-10,2025-01-10 08:36:00,2025-01-10 08:44:00,Member Services,164,13,303,44,60,1,0,CU0019329,480
C00000104,ACT00000191,A001,2025-01-10,2025-01-10 09:12:00,2025-01-10 09:31:00,Technical Support,903,46,191,68,180,1,0,CU0013975,1140
C00000105,ACT00000192,A001,2025-01-10,2025-01-10 09:32:00,2025-01-10 09:43:00,Billing Support,423,16,221,68,90,1,0,CU0019854,660
C00000106,ACT00000194,A001,2025-01-10,2025-01-10 10:09:00,2025-01-10 10:23:00,Technical Support,486,79,275,29,180,1,0,CU0017758,840
C00000107,ACT00000199,A001,2025-01-10,2025-01-10 11:41:00,2025-01-10 11:55:00,Technical Support,647,55,138,12,180,1,0,CU0013982,840
C00000108,ACT00000201,A001,2025-01-10,2025-01-10 12:22:00,2025-01-10 12:36:00,Claims Support,786,2,52,134,120,0,0,CU0007394,840
C00000109,ACT00000203,A001,2025-01-10,2025-01-10 12:46:00,2025-01-10 13:04:00,Technical Support,813,39,228,8,180,1,0,CU0016866,1080
C00000110,ACT00000205,A001,2025-01-10,2025-01-10 13:16:00,2025-01-10 13:29:00,Claims Support,602,33,145,20,120,1,0,CU0016104,780
C00000111,ACT00000206,A001,2025-01-10,2025-01-10 13:29:00,2025-01-10 13:46:00,Claims Support,756,44,220,104,120,1,0,CU0011861,1020
C00000112,ACT00000207,A001,2025-01-10,2025-01-10 13:46:00,2025-01-10 13:57:00,Member Services,434,42,184,34,60,1,0,CU0004287,660
C00000113,ACT00000208,A001,2025-01-10,2025-01-10 14:00:00,2025-01-10 14:12:00,Billing Support,522,37,161,114,90,0,0,CU0000059,720
C00000114,ACT00000209,A001,2025-01-10,2025-01-10 14:12:00,2025-01-10 14:25:00,Billing Support,603,18,159,5,90,1,0,CU0001489,780
C00000115,ACT00000211,A001,2025-01-10,2025-01-10 14:48:00,2025-01-10 14:57:00,Claims Support,386,24,130,76,120,1,0,CU0004186,540
C00000116,ACT00000212,A001,2025-01-10,2025-01-10 14:57:00,2025-01-10 15:18:00,Technical Support,1024,45,191,66,180,1,0,CU0009466,1260
C00000117,ACT00000213,A001,2025-01-10,2025-01-10 15:18:00,2025-01-10 15:32:00,Technical Support,553,117,170,4,180,1,0,CU0010110,840
C00000118,ACT00000214,A001,2025-01-10,2025-01-10 15:32:00,2025-01-10 15:41:00,Member Services,267,56,217,17,60,1,0,CU0009364,540
C00000119,ACT00000216,A001,2025-01-10,2025-01-10 15:52:00,2025-01-10 16:00:00,Member Services,171,19,290,78,60,0,0,CU0000085,480
C00000120,ACT00000219,A001,2025-01-13,2025-01-13 07:53:00,2025-01-13 08:11:00,Technical Support,876,27,177,135,180,1,0,CU0004184,1080
C00000121,ACT00000220,A001,2025-01-13,2025-01-13 08:11:00,2025-01-13 08:25:00,Billing Support,568,111,161,15,90,1,0,CU0015768,840
C00000122,ACT00000221,A001,2025-01-13,2025-01-13 08:25:00,2025-01-13 08:37:00,Claims Support,461,7,252,26,120,1,0,CU0010447,720
C00000123,ACT00000222,A001,2025-01-13,2025-01-13 08:37:00,2025-01-13 08:47:00,Member Services,311,101,188,17,60,1,0,CU0012730,600
C00000124,ACT00000223,A001,2025-01-13,2025-01-13 08:48:00,2025-01-13 09:03:00,Technical Support,700,14,186,31,180,1,0,CU0019418,900
C00000125,ACT00000226,A001,2025-01-13,2025-01-13 10:12:00,2025-01-13 10:25:00,Technical Support,533,134,113,69,180,1,0,CU0003913,780
C00000126,ACT00000228,A001,2025-01-13,2025-01-13 10:47:00,2025-01-13 11:00:00,Technical Support,570,17,193,101,180,1,0,CU0010491,780
C00000127,ACT00000230,A001,2025-01-13,2025-01-13 11:30:00,2025-01-13 11:45:00,Technical Support,645,104,151,27,180,1,0,CU0003681,900
C00000128,ACT00000231,A001,2025-01-13,2025-01-13 11:45:00,2025-01-13 12:02:00,Claims Support,847,12,161,31,120,1,0,CU0016654,1020
C00000129,ACT00000232,A001,2025-01-13,2025-01-13 12:02:00,2025-01-13 12:09:00,Billing Support,278,5,137,93,90,0,0,CU0013286,420
C00000130,ACT00000233,A001,2025-01-13,2025-01-13 12:09:00,2025-01-13 12:28:00,Claims Support,920,1,219,32,120,1,0,CU0003444,1140
C00000131,ACT00000236,A001,2025-01-13,2025-01-13 13:20:00,2025-01-13 13:32:00,Member Services,585,36,99,117,60,0,0,CU0005553,720
C00000132,ACT00000237,A001,2025-01-13,2025-01-13 13:35:00,2025-01-13 13:48:00,Member Services,484,75,221,20,60,1,0,CU0000739,780
C00000133,ACT00000239,A001,2025-01-13,2025-01-13 13:59:00,2025-01-13 14:12:00,Member Services,529,66,185,55,60,1,0,CU0002216,780
C00000134,ACT00000242,A001,2025-01-13,2025-01-13 15:03:00,2025-01-13 15:19:00,Member Services,725,9,226,117,60,0,0,CU0009875,960
C00000135,ACT00000244,A001,2025-01-13,2025-01-13 15:35:00,2025-01-13 15:43:00,Member Services,283,48,149,4,60,1,0,CU0019054,480
C00000136,ACT00000246,A001,2025-01-13,2025-01-13 15:56:00,2025-01-13 16:00:00,Claims Support,60,57,217,65,120,1,0,CU0005925,334
C00000137,ACT00000251,A001,2025-01-14,2025-01-14 08:43:00,2025-01-14 08:55:00,Member Services,558,16,146,126,60,0,0,CU0003065,720
C00000138,ACT00000256,A001,2025-01-14,2025-01-14 10:46:00,2025-01-14 11:00:00,Claims Support,654,17,169,22,120,1,0,CU0001457,840
C00000139,ACT00000259,A001,2025-01-14,2025-01-14 12:02:00,2025-01-14 12:11:00,Member Services,425,3,112,1,60,1,0,CU0007267,540
C00000140,ACT00000260,A001,2025-01-14,2025-01-14 12:14:00,2025-01-14 12:36:00,Technical Support,1073,112,135,70,180,1,0,CU0011780,1320
C00000141,ACT00000262,A001,2025-01-14,2025-01-14 12:49:00,2025-01-14 13:03:00,Claims Support,498,158,184,38,120,1,0,CU0012145,840
C00000142,ACT00000263,A001,2025-01-14,2025-01-14 13:03:00,2025-01-14 13:17:00,Technical Support,706,6,128,9,180,1,0,CU0008764,840
C00000143,ACT00000268,A001,2025-01-14,2025-01-14 15:24:00,2025-01-14 15:42:00,Claims Support,841,27,212,16,120,1,0,CU0012667,1080
C00000144,ACT00000273,A001,2025-01-15,2025-01-15 08:29:00,2025-01-15 08:44:00,Billing Support,673,55,172,196,90,0,0,CU0018694,900
C00000145,ACT00000276,A001,2025-01-15,2025-01-15 09:55:00,2025-01-15 10:17:00,Technical Support,1211,10,99,45,180,1,0,CU0019490,1320
C00000146,ACT00000277,A001,2025-01-15,2025-01-15 10:17:00,2025-01-15 10:31:00,Technical Support,573,2,265,11,180,1,0,CU0007689,840
C00000147,ACT00000279,A001,2025-01-15,2025-01-15 10:58:00,2025-01-15 11:00:00,Claims Support,60,28,257,80,120,1,0,CU0002890,345
C00000148,ACT00000281,A001,2025-01-15,2025-01-15 11:30:00,2025-01-15 11:43:00,Claims Support,690,25,65,115,120,1,0,CU0002608,780
C00000149,ACT00000287,A001,2025-01-15,2025-01-15 13:58:00,2025-01-15 14:10:00,Member Services,565,12,143,54,60,1,0,CU0003679,720
C00000150,ACT00000288,A001,2025-01-15,2025-01-15 14:12:00,2025-01-15 14:25:00,Billing Support,464,102,214,33,90,1,0,CU0014843,780
C00000151,ACT00000289,A001,2025-01-15,2025-01-15 14:25:00,2025-01-15 14:37:00,Billing Support,471,23,226,103,90,0,0,CU0012680,720
C00000152,ACT00000290,A001,2025-01-15,2025-01-15 14:37:00,2025-01-15 14:49:00,Claims Support,512,37,171,9,120,1,0,CU0016642,720
C00000153,ACT00000291,A001,2025-01-15,2025-01-15 14:49:00,2025-01-15 15:07:00,Claims Support,861,36,183,36,120,1,0,CU0015104,1080
C00000154,ACT00000292,A001,2025-01-15,2025-01-15 15:07:00,2025-01-15 15:13:00,Claims Support,227,5,128,27,120,1,0,CU0003111,360
C00000155,ACT00000293,A001,2025-01-15,2025-01-15 15:13:00,2025-01-15 15:33:00,Technical Support,963,16,221,15,180,1,0,CU0018150,1200
C00000156,ACT00000294,A001,2025-01-15,2025-01-15 15:33:00,2025-01-15 15:47:00,Claims Support,508,188,144,35,120,1,0,CU0005915,840
C00000157,ACT00000295,A001,2025-01-15,2025-01-15 15:47:00,2025-01-15 15:55:00,Billing Support,280,15,185,87,90,1,0,CU0004372,480
C00000158,ACT00000296,A001,2025-01-15,2025-01-15 15:55:00,2025-01-15 16:00:00,Billing Support,60,55,192,33,90,1,0,CU0019518,307
C00000159,ACT00000298,A001,2025-01-16,2025-01-16 07:17:00,2025-01-16 07:41:00,Technical Support,1180,48,212,15,180,1,0,CU0008752,1440
C00000160,ACT00000299,A001,2025-01-16,2025-01-16 07:41:00,2025-01-16 07:56:00,Claims Support,691,16,193,38,120,1,0,CU0003434,900
C00000161,ACT00000302,A001,2025-01-16,2025-01-16 08:34:00,2025-01-16 08:48:00,Claims Support,691,37,112,41,120,1,0,CU0004661,840
C00000162,ACT00000303,A001,2025-01-16,2025-01-16 08:48:00,2025-01-16 09:04:00,Billing Support,695,79,186,1,90,1,0,CU0011884,960
C00000163,ACT00000304,A001,2025-01-16,2025-01-16 09:04:00,2025-01-16 09:14:00,Member Services,452,11,137,10,60,1,0,CU0016522,600
C00000164,ACT00000307,A001,2025-01-16,2025-01-16 09:58:00,2025-01-16 10:05:00,Member Services,169,35,216,136,60,0,0,CU0013830,420
C00000165,ACT00000309,A001,2025-01-16,2025-01-16 10:27:00,2025-01-16 10:44:00,Claims Support,625,153,242,111,120,1,0,CU0014898,1020
C00000166,ACT00000310,A001,2025-01-16,2025-01-16 10:44:00,2025-01-16 10:56:00,Member Services,528,23,169,33,60,1,0,CU0008901,720
C00000167,ACT00000311,A001,2025-01-16,2025-01-16 10:56:00,2025-01-16 11:00:00,Technical Support,102,2,136,3,180,1,0,CU0012653,240
C00000168,ACT00000313,A001,2025-01-16,2025-01-16 11:30:00,2025-01-16 11:44:00,Member Services,560,55,225,2,60,1,0,CU0005670,840
C00000169,ACT00000314,A001,2025-01-16,2025-01-16 11:44:00,2025-01-16 11:53:00,Member Services,387,41,112,198,60,0,0,CU0011827,540
C00000170,ACT00000316,A001,2025-01-16,2025-01-16 12:28:00,2025-01-16 12:50:00,Claims Support,1069,8,243,66,120,1,0,CU0013157,1320
C00000171,ACT00000317,A001,2025-01-16,2025-01-16 12:51:00,2025-01-16 13:06:00,Billing Support,728,101,71,55,90,1,0,CU0008895,900
C00000172,ACT00000318,A001,2025-01-16,2025-01-16 13:06:00,2025-01-16 13:28:00,Technical Support,1130,30,160,37,180,1,0,CU0010557,1320
C00000173,ACT00000320,A001,2025-01-16,2025-01-16 13:45:00,2025-01-16 14:05:00,Technical Support,1028,57,115,125,180,1,0,CU0002320,1200
C00000174,ACT00000321,A001,2025-01-16,2025-01-16 14:08:00,2025-01-16 14:24:00,Technical Support,732,18,210,19,180,1,0,CU0011855,960
C00000175,ACT00000322,A001,2025-01-16,2025-01-16 14:24:00,2025-01-16 14:41:00,Technical Support,781,35,204,98,180,1,0,CU0011431,1020
C00000176,ACT00000323,A001,2025-01-16,2025-01-16 14:41:00,2025-01-16 14:53:00,Member Services,464,28,228,80,60,0,0,CU0018774,720
C00000177,ACT00000326,A001,2025-01-16,2025-01-16 15:27:00,2025-01-16 15:34:00,Member Services,228,13,179,19,60,1,0,CU0003878,420
C00000178,ACT00000327,A001,2025-01-16,2025-01-16 15:34:00,2025-01-16 15:48:00,Billing Support,702,24,114,31,90,1,0,CU0000462,840
C00000179,ACT00000330,A001,2025-01-17,2025-01-17 07:08:00,2025-01-17 07:22:00,Technical Support,605,28,207,28,180,1,0,CU0009632,840
C00000180,ACT00000332,A001,2025-01-17,2025-01-17 07:34:00,2025-01-17 07:45:00,Billing Support,535,24,101,28,90,1,0,CU0001574,660
C00000181,ACT00000333,A001,2025-01-17,2025-01-17 07:45:00,2025-01-17 07:53:00,Claims Support,289,1,190,25,120,1,0,CU0004875,480
