attendance_id,master_agent_id,date,scheduled_hours,worked_hours,scheduled_minutes,worked_minutes,absent_flag,late_minutes,early_leave_minutes,adherence_pct
AT00000045,A001,2025-02-28,9.0,8.73,540,524.0,0,0,0,0.97
AT00000046,A001,2025-03-03,9.0,8.85,540,531.0,0,0,0,0.983
AT00000047,A001,2025-03-04,9.0,8.78,540,527.0,0,0,0,0.976
AT00000048,A001,2025-03-05,9.0,8.95,540,537.0,0,0,0,0.994
AT00000049,A001,2025-03-06,9.0,8.77,540,526.0,0,0,0,0.974
AT00000050,A001,2025-03-07,9.0,8.87,540,532.0,0,0,0,0.985
AT00000051,A001,2025-03-10,9.0,8.93,540,536.0,0,0,0,0.993
AT00000052,A001,2025-03-11,9.0,8.85,540,531.0,0,0,0,0.983
AT00000053,A001,2025-03-12,9.0,8.83,540,530.0,0,0,0,0.981
AT00000054,A001,2025-03-13,9.0,8.9,540,534.0,0,0,0,0.989
AT00000055,A001,2025-03-14,9.0,8.85,540,531.0,0,0,0,0.983
AT00000056,A001,2025-03-15,9.0,8.88,540,533.0,0,0,0,0.987
AT00000057,A001,2025-03-17,9.0,8.85,540,531.0,0,0,0,0.983
AT00000058,A001,2025-03-18,9.0,8.95,540,537.0,0,0,0,0.994
AT00000059,A001,2025-03-19,9.0,8.98,540,539.0,0,0,0,0.998
AT00000060,A001,2025-03-20,9.0,8.77,540,526.0,0,5,0,0.974
AT00000061,A001,2025-03-21,9.0,8.88,540,533.0,0,0,0,0.987
AT00000062,A001,2025-03-22,9.0,8.3,540,498.0,0,0,30,0.922
AT00000063,A001,2025-03-24,9.0,8.8,540,528.0,0,5,0,0.978
AT00000064,A001,2025-03-25,9.0,8.97,540,538.0,0,0,0,0.996
AT00000065,A001,2025-03-26,9.0,8.85,540,531.0,0,0,0,0.983
AT00000066,A001,2025-03-27,9.0,8.8,540,528.0,0,0,0,0.978
AT00000067,A001,2025-03-28,9.0,8.82,540,529.0,0,0,0,0.98
AT00000068,A001,2025-03-31,9.0,8.6,540,516.0,0,10,10,0.956
AT00000069,A002,2025-01-01,9.0,8.83,540,530.0,0,0,0,0.981
AT00000070,A002,2025-01-02,9.0,8.77,540,526.0,0,0,0,0.974
AT00000071,A002,2025-01-03,9.0,8.85,540,531.0,0,0,0,0.983
AT00000072,A002,2025-01-04,9.0,8.75,540,525.0,0,0,0,0.972
AT00000073,A002,2025-01-06,9.0,8.92,540,535.0,0,0,0,0.991
AT00000074,A002,2025-01-07,9.0,8.82,540,529.0,0,0,0,0.98
AT00000075,A002,2025-01-08,9.0,8.87,540,532.0,0,0,0,0.985
AT00000076,A002,2025-01-09,9.0,8.95,540,537.0,0,0,0,0.994
AT00000077,A002,2025-01-10,9.0,8.8,540,528.0,0,0,0,0.978
AT00000078,A002,2025-01-12,9.0,8.83,540,530.0,0,0,0,0.981
AT00000079,A002,2025-01-13,9.0,8.88,540,533.0,0,0,0,0.987
AT00000080,A002,2025-01-14,9.0,8.82,540,529.0,0,5,0,0.98
AT00000081,A002,2025-01-15,9.0,8.8,540,528.0,0,10,0,0.978
AT00000082,A002,2025-01-16,9.0,8.8,540,528.0,0,0,0,0.978
AT00000083,A002,2025-01-17,9.0,8.83,540,530.0,0,0,0,0.981
AT00000084,A002,2025-01-18,9.0,8.93,540,536.0,0,0,0,0.993
AT00000085,A002,2025-01-20,9.0,8.35,540,501.0,0,0,30,0.928
AT00000086,A002,2025-01-21,9.0,8.85,540,531.0,0,0,0,0.983
AT00000087,A002,2025-01-22,9.0,8.75,540,525.0,0,10,0,0.972
AT00000088,A002,2025-01-23,9.0,8.87,540,532.0,0,0,0,0.985
AT00000089,A002,2025-01-24,9.0,8.83,540,530.0,0,0,0,0.981
AT00000090,A002,2025-01-27,9.0,8.92,540,535.0,0,0,0,0.991
AT00000091,A002,2025-01-28,9.0,8.87,540,532.0,0,0,0,0.985
AT00000092,A002,2025-01-29,9.0,8.92,540,535.0,0,0,0,0.991
AT00000093,A002,2025-01-30,9.0,8.93,540,536.0,0,0,0,0.993
AT00000094,A002,2025-01-31,9.0,8.83,540,530.0,0,10,0,0.981
AT00000095,A002,2025-02-03,9.0,0.0,540,0.0,1,0,540,0.0
AT00000096,A002,2025-02-04,9.0,8.72,540,523.0,0,15,0,0.969
AT00000097,A002,2025-02-05,9.0,0.0,540,0.0,1,0,540,0.0
AT00000098,A002,2025-02-06,9.0,8.87,540,532.0,0,0,0,0.985
AT00000099,A002,2025-02-07,9.0,8.92,540,535.0,0,0,0,0.991
AT00000100,A002,2025-02-10,9.0,8.98,540,539.0,0,0,0,0.998
AT00000101,A002,2025-02-11,9.0,8.98,540,539.0,0,0,0,0.998
AT00000102,A002,2025-02-12,9.0,8.58,540,515.0,0,0,15,0.954
AT00000103,A002,2025-02-13,9.0,8.85,540,531.0,0,0,0,0.983
AT00000104,A002,2025-02-14,9.0,8.47,540,508.0,0,15,15,0.941
AT00000105,A002,2025-02-17,9.0,8.78,540,527.0,0,0,0,0.976
AT00000106,A002,2025-02-18,9.0,8.93,540,536.0,0,0,0,0.993
AT00000107,A002,2025-02-19,9.0,8.83,540,530.0,0,0,0,0.981
AT00000108,A002,2025-02-20,9.0,8.93,540,536.0,0,0,0,0.993
AT00000109,A002,2025-02-21,9.0,8.92,540,535.0,0,0,0,0.991
AT00000110,A002,2025-02-24,9.0,8.93,540,536.0,0,0,0,0.993
AT00000111,A002,2025-02-25,9.0,8.93,540,536.0,0,0,0,0.993
AT00000112,A002,2025-02-26,9.0,8.5,540,510.0,0,0,30,0.944
AT00000113,A002,2025-02-27,9.0,8.95,540,537.0,0,0,0,0.994
AT00000114,A002,2025-02-28,9.0,8.7,540,522.0,0,0,10,0.967
AT00000115,A002,2025-03-03,9.0,8.97,540,538.0,0,0,0,0.996
AT00000116,A002,2025-03-04,9.0,8.88,540,533.0,0,0,0,0.987
AT00000117,A002,2025-03-05,9.0,8.95,540,537.0,0,0,0,0.994
AT00000118,A002,2025-03-06,9.0,8.8,540,528.0,0,5,0,0.978
AT00000119,A002,2025-03-07,9.0,8.7,540,522.0,0,0,10,0.967
AT00000120,A002,2025-03-10,9.0,8.75,540,525.0,0,0,10,0.972
AT00000121,A002,2025-03-11,9.0,8.85,540,531.0,0,0,0,0.983
AT00000122,A002,2025-03-12,9.0,8.83,540,530.0,0,0,0,0.981
AT00000123,A002,2025-03-13,9.0,8.97,540,538.0,0,0,0,0.996
AT00000124,A002,2025-03-14,9.0,8.82,540,529.0,0,5,0,0.98
AT00000125,A002,2025-03-15,9.0,8.83,540,530.0,0,0,0,0.981
AT00000126,A002,2025-03-17,9.0,8.8,540,528.0,0,10,0,0.978
AT00000127,A002,2025-03-18,9.0,8.9,540,534.0,0,0,0,0.989
AT00000128,A002,2025-03-19,9.0,8.75,540,525.0,0,10,0,0.972
AT00000129,A002,2025-03-20,9.0,8.82,540,529.0,0,0,0,0.98
AT00000130,A002,2025-03-21,9.0,8.92,540,535.0,0,0,0,0.991
AT00000131,A002,2025-03-24,9.0,8.87,540,532.0,0,0,0,0.985
AT00000132,A002,2025-03-25,9.0,8.53,540,512.0,0,15,0,0.948
AT00000133,A002,2025-03-26,9.0,8.83,540,530.0,0,0,0,0.981
AT00000134,A002,2025-03-27,9.0,8.92,540,535.0,0,0,0,0.991
AT00000135,A002,2025-03-28,9.0,0.0,540,0.0,1,0,540,0.0
AT00000136,A002,2025-03-31,9.0,8.4,540,504.0,0,30,0,0.933
AT00000137,A003,2025-01-01,9.0,8.82,540,529.0,0,5,0,0.98
AT00000138,A003,2025-01-02,9.0,8.72,540,523.0,0,10,0,0.969
AT00000139,A003,2025-01-03,9.0,8.9,540,534.0,0,0,0,0.989
AT00000140,A003,2025-01-05,9.0,8.85,540,531.0,0,5,0,0.983
AT00000141,A003,2025-01-06,9.0,8.83,540,530.0,0,0,0,0.981
AT00000142,A003,2025-01-07,9.0,8.77,540,526.0,0,0,10,0.974
AT00000143,A003,2025-01-08,9.0,8.37,540,502.0,0,10,15,0.93
AT00000144,A003,2025-01-09,9.0,8.83,540,530.0,0,0,0,0.981
AT00000145,A003,2025-01-10,9.0,8.73,540,524.0,0,0,10,0.97
AT00000146,A003,2025-01-13,9.0,8.92,540,535.0,0,0,0,0.991
AT00000147,A003,2025-01-14,9.0,8.75,540,525.0,0,0,0,0.972
AT00000148,A003,2025-01-15,9.0,8.72,540,523.0,0,0,10,0.969
AT00000149,A003,2025-01-16,9.0,8.57,540,514.0,0,15,0,0.952
AT00000150,A003,2025-01-17,9.0,8.9,540,534.0,0,0,0,0.989
AT00000151,A003,2025-01-18,9.0,8.97,540,538.0,0,0,0,0.996
AT00000152,A003,2025-01-20,9.0,8.9,540,534.0,0,0,2,0.989
AT00000153,A003,2025-01-21,9.0,8.63,540,518.0,0,10,0,0.959
AT00000154,A003,2025-01-22,9.0,8.95,540,537.0,0,0,0,0.994
AT00000155,A003,2025-01-23,9.0,8.35,540,501.0,0,0,30,0.928
AT00000156,A003,2025-01-24,9.0,9.0,540,540.0,0,0,0,1.0
AT00000157,A003,2025-01-27,9.0,8.9,540,534.0,0,0,0,0.989
AT00000158,A003,2025-01-28,9.0,8.93,540,536.0,0,0,0,0.993
AT00000159,A003,2025-01-29,9.0,0.0,540,0.0,1,0,540,0.0
AT00000160,A003,2025-01-31,9.0,8.98,540,539.0,0,0,0,0.998
AT00000161,A003,2025-02-03,9.0,8.65,540,519.0,0,0,15,0.961
AT00000162,A003,2025-02-04,9.0,8.9,540,534.0,0,0,0,0.989
AT00000163,A003,2025-02-05,9.0,8.87,540,532.0,0,0,0,0.985
AT00000164,A003,2025-02-06,9.0,8.88,540,533.0,0,0,0,0.987
AT00000165,A003,2025-02-07,9.0,8.93,540,536.0,0,0,0,0.993
AT00000166,A003,2025-02-10,9.0,8.63,540,518.0,0,15,0,0.959
AT00000167,A003,2025-02-11,9.0,0.0,540,0.0,1,0,540,0.0
AT00000168,A003,2025-02-12,9.0,8.92,540,535.0,0,0,0,0.991
AT00000169,A003,2025-02-13,9.0,8.82,540,529.0,0,0,0,0.98
AT00000170,A003,2025-02-14,9.0,8.85,540,531.0,0,0,0,0.983
AT00000171,A003,2025-02-16,9.0,8.73,540,524.0,0,0,10,0.97
AT00000172,A003,2025-02-18,9.0,8.98,540,539.0,0,0,0,0.998
AT00000173,A003,2025-02-19,9.0,8.92,540,535.0,0,0,0,0.991
AT00000174,A003,2025-02-20,9.0,8.8,540,528.0,0,10,0,0.978
AT00000175,A003,2025-02-21,9.0,8.87,540,532.0,0,0,0,0.985
AT00000176,A003,2025-02-24,9.0,8.82,540,529.0,0,0,0,0.98
AT00000177,A003,2025-02-25,9.0,8.78,540,527.0,0,0,0,0.976
AT00000178,A003,2025-02-26,9.0,8.88,540,533.0,0,0,5,0.987
AT00000179,A003,2025-02-27,9.0,8.97,540,538.0,0,0,0,0.996
AT00000180,A003,2025-02-28,9.0,8.87,540,532.0,0,0,0,0.985
AT00000181,A003,2025-03-03,9.0,8.55,540,513.0,0,10,5,0.95
AT00000182,A003,2025-03-04,9.0,8.75,540,525.0,0,0,0,0.972
AT00000183,A003,2025-03-05,9.0,8.78,540,527.0,0,0,0,0.976
AT00000184,A003,2025-03-06,9.0,8.82,540,529.0,0,0,0,0.98
AT00000185,A003,2025-03-07,9.0,8.87,540,532.0,0,0,0,0.985
AT00000186,A003,2025-03-10,9.0,0.0,540,0.0,1,0,540,0.0
AT00000187,A003,2025-03-11,9.0,8.88,540,533.0,0,5,0,0.987
AT00000188,A003,2025-03-12,9.0,8.93,540,536.0,0,0,0,0.993
AT00000189,A003,2025-03-13,9.0,8.87,540,532.0,0,0,0,0.985
AT00000190,A003,2025-03-14,9.0,8.5,540,510.0,0,0,15,0.944
AT00000191,A003,2025-03-17,9.0,8.88,540,533.0,0,0,0,0.987
AT00000192,A003,2025-03-18,9.0,8.63,540,518.0,0,0,10,0.959
AT00000193,A003,2025-03-19,9.0,8.9,540,534.0,0,0,0,0.989
AT00000194,A003,2025-03-20,9.0,8.72,540,523.0,0,5,0,0.969
AT00000195,A003,2025-03-21,9.0,8.85,540,531.0,0,0,0,0.983
AT00000196,A003,2025-03-22,9.0,8.9,540,534.0,0,0,0,0.989
AT00000197,A003,2025-03-24,9.0,8.62,540,517.0,0,0,10,0.957
AT00000198,A003,2025-03-25,9.0,8.85,540,531.0,0,0,0,0.983
AT00000199,A003,2025-03-26,9.0,8.68,540,521.0,0,5,0,0.965
AT00000200,A003,2025-03-27,9.0,8.65,540,519.0,0,15,0,0.961
AT00000201,A003,2025-03-28,9.0,8.88,540,533.0,0,0,0,0.987
AT00000202,A003,2025-03-31,9.0,8.98,540,539.0,0,0,0,0.998
AT00000203,A004,2025-01-01,9.0,8.85,540,531.0,0,0,3,0.983
AT00000204,A004,2025-01-02,9.0,8.73,540,524.0,0,5,0,0.97
AT00000205,A004,2025-01-03,9.0,8.7,540,522.0,0,0,1,0.967
AT00000206,A004,2025-01-06,9.0,8.87,540,532.0,0,0,0,0.985
AT00000207,A004,2025-01-07,9.0,8.85,540,531.0,0,0,0,0.983
AT00000208,A004,2025-01-08,9.0,8.98,540,539.0,0,0,0,0.998
AT00000209,A004,2025-01-09,9.0,8.88,540,533.0,0,0,0,0.987
AT00000210,A004,2025-01-10,9.0,8.93,540,536.0,0,0,0,0.993
AT00000211,A004,2025-01-13,9.0,8.82,540,529.0,0,0,0,0.98
AT00000212,A004,2025-01-14,9.0,8.9,540,534.0,0,0,0,0.989
AT00000213,A004,2025-01-15,9.0,8.87,540,532.0,0,0,0,0.985
AT00000214,A004,2025-01-16,9.0,8.93,540,536.0,0,0,0,0.993
AT00000215,A004,2025-01-17,9.0,8.83,540,530.0,0,0,0,0.981
AT00000216,A004,2025-01-18,9.0,8.8,540,528.0,0,5,0,0.978
AT00000217,A004,2025-01-20,9.0,8.95,540,537.0,0,0,0,0.994
AT00000218,A004,2025-01-21,9.0,8.88,540,533.0,0,0,0,0.987
AT00000219,A004,2025-01-22,9.0,8.87,540,532.0,0,0,0,0.985
AT00000220,A004,2025-01-23,9.0,8.98,540,539.0,0,0,0,0.998
AT00000221,A004,2025-01-24,9.0,8.75,540,525.0,0,10,0,0.972
AT00000222,A004,2025-01-26,9.0,8.93,540,536.0,0,0,0,0.993
AT00000223,A004,2025-01-27,9.0,8.85,540,531.0,0,0,5,0.983
AT00000224,A004,2025-01-28,9.0,8.9,540,534.0,0,0,0,0.989
AT00000225,A004,2025-01-29,9.0,8.95,540,537.0,0,0,0,0.994
AT00000226,A004,2025-01-30,9.0,8.77,540,526.0,0,10,0,0.974
AT00000227,A004,2025-01-31,9.0,8.95,540,537.0,0,0,0,0.994
AT00000228,A004,2025-02-03,9.0,8.93,540,536.0,0,0,0,0.993
AT00000229,A004,2025-02-04,9.0,0.0,540,0.0,1,0,540,0.0
AT00000230,A004,2025-02-05,9.0,8.85,540,531.0,0,0,0,0.983
AT00000231,A004,2025-02-06,9.0,8.95,540,537.0,0,0,0,0.994
AT00000232,A004,2025-02-07,9.0,8.88,540,533.0,0,0,0,0.987
AT00000233,A004,2025-02-10,9.0,8.9,540,534.0,0,0,0,0.989
AT00000234,A004,2025-02-11,9.0,8.87,540,532.0,0,0,0,0.985
AT00000235,A004,2025-02-12,9.0,8.95,540,537.0,0,0,0,0.994
AT00000236,A004,2025-02-13,9.0,8.87,540,532.0,0,0,0,0.985
AT00000237,A004,2025-02-14,9.0,8.67,540,520.0,0,10,0,0.963
AT00000238,A004,2025-02-15,9.0,8.9,540,534.0,0,0,0,0.989
AT00000239,A004,2025-02-17,9.0,8.6,540,516.0,0,15,0,0.956
AT00000240,A004,2025-02-18,9.0,8.87,540,532.0,0,0,0,0.985
AT00000241,A004,2025-02-19,9.0,8.88,540,533.0,0,0,0,0.987
AT00000242,A004,2025-02-20,9.0,8.87,540,532.0,0,0,0,0.985
AT00000243,A004,2025-02-21,9.0,8.65,540,519.0,0,15,0,0.961
AT00000244,A004,2025-02-24,9.0,8.83,540,530.0,0,0,0,0.981
AT00000245,A004,2025-02-25,9.0,8.82,540,529.0,0,0,0,0.98
AT00000246,A004,2025-02-26,9.0,8.85,540,531.0,0,0,0,0.983
AT00000247,A004,2025-02-27,9.0,8.78,540,527.0,0,0,0,0.976
AT00000248,A004,2025-02-28,9.0,8.92,540,535.0,0,0,0,0.991
AT00000249,A004,2025-03-03,9.0,8.9,540,534.0,0,0,0,0.989
AT00000250,A004,2025-03-04,9.0,8.83,540,530.0,0,0,0,0.981
AT00000251,A004,2025-03-05,9.0,8.88,540,533.0,0,0,0,0.987
AT00000252,A004,2025-03-06,9.0,8.88,540,533.0,0,0,0,0.987
AT00000253,A004,2025-03-07,9.0,8.85,540,531.0,0,0,0,0.983
AT00000254,A004,2025-03-10,9.0,8.8,540,528.0,0,0,0,0.978
AT00000255,A004,2025-03-11,9.0,8.83,540,530.0,0,0,0,0.981
AT00000256,A004,2025-03-13,9.0,8.9,540,534.0,0,0,0,0.989
AT00000257,A004,2025-03-14,9.0,8.9,540,534.0,0,0,0,0.989
AT00000258,A004,2025-03-17,9.0,8.83,540,530.0,0,0,2,0.981
AT00000259,A004,2025-03-18,9.0,8.8,540,528.0,0,0,0,0.978
AT00000260,A004,2025-03-19,9.0,8.82,540,529.0,0,0,0,0.98
AT00000261,A004,2025-03-20,9.0,8.8,540,528.0,0,0,0,0.978
AT00000262,A004,2025-03-21,9.0,8.75,540,525.0,0,10,0,0.972
AT00000263,A004,2025-03-22,9.0,8.9,540,534.0,0,0,0,0.989
AT00000264,A004,2025-03-24,9.0,8.83,540,530.0,0,0,0,0.981
AT00000265,A004,2025-03-25,9.0,8.68,540,521.0,0,10,0,0.965
AT00000266,A004,2025-03-26,9.0,8.77,540,526.0,0,10,0,0.974
AT00000267,A004,2025-03-28,9.0,8.72,540,523.0,0,0,0,0.969
AT00000268,A004,2025-03-31,9.0,8.67,540,520.0,0,5,15,0.963
AT00000269,A005,2025-01-01,9.0,8.83,540,530.0,0,0,5,0.981
AT00000270,A005,2025-01-02,9.0,8.28,540,497.0,0,0,30,0.92
AT00000271,A005,2025-01-03,9.0,0.0,540,0.0,1,0,540,0.0
AT00000272,A005,2025-01-06,9.0,8.85,540,531.0,0,5,2,0.983
AT00000273,A005,2025-01-07,9.0,8.92,540,535.0,0,0,0,0.991
AT00000274,A005,2025-01-08,9.0,8.78,540,527.0,0,0,0,0.976
AT00000275,A005,2025-01-09,9.0,8.92,540,535.0,0,0,0,0.991
AT00000276,A005,2025-01-10,9.0,8.82,540,529.0,0,0,0,0.98
AT00000277,A005,2025-01-13,9.0,8.83,540,530.0,0,0,0,0.981
AT00000278,A005,2025-01-14,9.0,8.9,540,534.0,0,0,0,0.989
AT00000279,A005,2025-01-15,9.0,8.8,540,528.0,0,0,0,0.978
AT00000280,A005,2025-01-16,9.0,8.8,540,528.0,0,0,0,0.978
AT00000281,A005,2025-01-17,9.0,8.75,540,525.0,0,0,0,0.972
AT00000282,A005,2025-01-20,9.0,8.77,540,526.0,0,10,0,0.974
AT00000283,A005,2025-01-21,9.0,8.78,540,527.0,0,0,0,0.976
AT00000284,A005,2025-01-22,9.0,8.97,540,538.0,0,0,0,0.996
AT00000285,A005,2025-01-23,9.0,8.9,540,534.0,0,0,0,0.989
AT00000286,A005,2025-01-24,9.0,8.93,540,536.0,0,0,0,0.993
AT00000287,A005,2025-01-26,9.0,8.75,540,525.0,0,0,0,0.972
AT00000288,A005,2025-01-27,9.0,8.82,540,529.0,0,0,0,0.98
AT00000289,A005,2025-01-28,9.0,8.9,540,534.0,0,0,0,0.989
AT00000290,A005,2025-01-29,9.0,8.67,540,520.0,0,0,5,0.963
AT00000291,A005,2025-01-30,9.0,8.95,540,537.0,0,0,0,0.994
AT00000292,A005,2025-01-31,9.0,8.82,540,529.0,0,0,0,0.98
AT00000293,A005,2025-02-03,9.0,8.83,540,530.0,0,0,0,0.981
AT00000294,A005,2025-02-04,9.0,8.93,540,536.0,0,0,0,0.993
AT00000295,A005,2025-02-05,9.0,8.95,540,537.0,0,0,0,0.994
AT00000296,A005,2025-02-06,9.0,8.82,540,529.0,0,0,0,0.98
AT00000297,A005,2025-02-07,9.0,8.85,540,531.0,0,0,0,0.983
AT00000298,A005,2025-02-08,9.0,8.98,540,539.0,0,0,0,0.998
AT00000299,A005,2025-02-10,9.0,8.58,540,515.0,0,0,15,0.954
AT00000300,A005,2025-02-11,9.0,8.87,540,532.0,0,0,0,0.985
AT00000301,A005,2025-02-12,9.0,8.75,540,525.0,0,0,0,0.972
AT00000302,A005,2025-02-13,9.0,8.7,540,522.0,0,10,0,0.967
AT00000303,A005,2025-02-14,9.0,8.43,540,506.0,0,30,0,0.937
AT00000304,A005,2025-02-17,9.0,8.97,540,538.0,0,0,0,0.996
AT00000305,A005,2025-02-18,9.0,8.8,540,528.0,0,0,0,0.978
AT00000306,A005,2025-02-19,9.0,8.8,540,528.0,0,0,0,0.978
AT00000307,A005,2025-02-20,9.0,8.88,540,533.0,0,0,0,0.987
AT00000308,A005,2025-02-21,9.0,8.85,540,531.0,0,0,0,0.983
AT00000309,A005,2025-02-24,9.0,8.9,540,534.0,0,0,0,0.989
AT00000310,A005,2025-02-25,9.0,8.87,540,532.0,0,0,0,0.985
AT00000311,A005,2025-02-26,9.0,8.95,540,537.0,0,0,0,0.994
AT00000312,A005,2025-02-27,9.0,8.82,540,529.0,0,0,0,0.98
AT00000313,A005,2025-02-28,9.0,8.95,540,537.0,0,0,0,0.994
AT00000314,A005,2025-03-02,9.0,8.77,540,526.0,0,5,0,0.974
AT00000315,A005,2025-03-03,9.0,8.82,540,529.0,0,0,0,0.98
AT00000316,A005,2025-03-04,9.0,8.87,540,532.0,0,0,0,0.985
AT00000317,A005,2025-03-05,9.0,8.97,540,538.0,0,0,0,0.996
AT00000318,A005,2025-03-06,9.0,8.82,540,529.0,0,0,10,0.98
AT00000319,A005,2025-03-07,9.0,8.85,540,531.0,0,0,0,0.983
AT00000320,A005,2025-03-08,9.0,8.77,540,526.0,0,0,0,0.974
AT00000321,A005,2025-03-10,9.0,8.9,540,534.0,0,0,0,0.989
AT00000322,A005,2025-03-11,9.0,8.7,540,522.0,0,10,0,0.967
AT00000323,A005,2025-03-12,9.0,8.92,540,535.0,0,0,0,0.991
AT00000324,A005,2025-03-13,9.0,8.83,540,530.0,0,0,0,0.981
AT00000325,A005,2025-03-14,9.0,8.93,540,536.0,0,0,0,0.993
AT00000326,A005,2025-03-16,9.0,8.95,540,537.0,0,0,0,0.994
AT00000327,A005,2025-03-17,9.0,8.82,540,529.0,0,0,0,0.98
AT00000328,A005,2025-03-18,9.0,8.92,540,535.0,0,0,0,0.991
AT00000329,A005,2025-03-19,9.0,8.65,540,519.0,0,0,15,0.961
AT00000330,A005,2025-03-20,9.0,8.95,540,537.0,0,0,0,0.994
AT00000331,A005,2025-03-21,9.0,8.87,540,532.0,0,0,0,0.985
AT00000332,A005,2025-03-24,9.0,8.82,540,529.0,0,0,0,0.98
AT00000333,A005,2025-03-25,9.0,8.8,540,528.0,0,0,0,0.978
AT00000334,A005,2025-03-26,9.0,8.6,540,516.0,0,0,11,0.956
AT00000335,A005,2025-03-27,9.0,8.83,540,530.0,0,0,0,0.981
AT00000336,A005,2025-03-28,9.0,8.72,540,523.0,0,0,10,0.969
AT00000337,A005,2025-03-30,9.0,8.9,540,534.0,0,0,0,0.989
AT00000338,A005,2025-03-31,9.0,8.92,540,535.0,0,0,0,0.991
AT00000339,A006,2025-01-01,9.0,8.93,540,536.0,0,0,0,0.993
AT00000340,A006,2025-01-02,9.0,8.93,540,536.0,0,0,0,0.993
AT00000341,A006,2025-01-03,9.0,8.98,540,539.0,0,0,0,0.998
AT00000342,A006,2025-01-06,9.0,8.82,540,529.0,0,0,0,0.98
AT00000343,A006,2025-01-07,9.0,8.75,540,525.0,0,0,0,0.972
AT00000344,A006,2025-01-08,9.0,0.0,540,0.0,1,0,540,0.0
AT00000345,A006,2025-01-09,9.0,8.87,540,532.0,0,0,0,0.985
AT00000346,A006,2025-01-10,9.0,8.87,540,532.0,0,0,0,0.985
