activity_id,master_agent_id,activity_date,activity_start,activity_end,activity_type,activity_category,queue,case_type,productive_flag,approved_flag,source_system,duration_minutes
ACT00000038,A001,2025-01-02,2025-01-02 10:56:00,2025-01-02 11:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,4.0
ACT00000039,A001,2025-01-02,2025-01-02 11:00:00,2025-01-02 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00000040,A001,2025-01-02,2025-01-02 11:30:00,2025-01-02 12:29:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,59.0
ACT00000041,A001,2025-01-02,2025-01-02 12:29:00,2025-01-02 12:42:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,13.0
ACT00000042,A001,2025-01-02,2025-01-02 12:42:00,2025-01-02 12:57:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,15.0
ACT00000043,A001,2025-01-02,2025-01-02 12:57:00,2025-01-02 13:07:00,Offline Work,Break,,,0,1,Queue Manager,10.0
ACT00000044,A001,2025-01-02,2025-01-02 13:07:00,2025-01-02 13:26:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,19.0
ACT00000045,A001,2025-01-02,2025-01-02 13:26:00,2025-01-02 13:41:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,15.0
ACT00000046,A001,2025-01-02,2025-01-02 13:43:00,2025-01-02 13:58:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,15.0
ACT00000047,A001,2025-01-02,2025-01-02 13:58:00,2025-01-02 14:12:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00000048,A001,2025-01-02,2025-01-02 14:12:00,2025-01-02 14:27:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,15.0
ACT00000049,A001,2025-01-02,2025-01-02 14:27:00,2025-01-02 14:42:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,15.0
ACT00000050,A001,2025-01-02,2025-01-02 14:42:00,2025-01-02 15:22:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,40.0
ACT00000051,A001,2025-01-02,2025-01-02 15:24:00,2025-01-02 15:35:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,11.0
ACT00000052,A001,2025-01-02,2025-01-02 15:35:00,2025-01-02 15:44:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00000053,A001,2025-01-02,2025-01-02 15:44:00,2025-01-02 16:00:00,Offline Work,Training,,,1,1,SharePoint Tracker,16.0
ACT00000054,A001,2025-01-03,2025-01-03 07:00:00,2025-01-03 07:19:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00000055,A001,2025-01-03,2025-01-03 07:19:00,2025-01-03 07:32:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,13.0
ACT00000056,A001,2025-01-03,2025-01-03 07:32:00,2025-01-03 07:51:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,19.0
ACT00000057,A001,2025-01-03,2025-01-03 07:51:00,2025-01-03 08:25:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,34.0
ACT00000058,A001,2025-01-03,2025-01-03 08:25:00,2025-01-03 08:39:00,Offline Work,Break,,,0,1,Queue Manager,14.0
ACT00000059,A001,2025-01-03,2025-01-03 08:42:00,2025-01-03 08:56:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,14.0
ACT00000060,A001,2025-01-03,2025-01-03 08:56:00,2025-01-03 09:21:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,25.0
ACT00000061,A001,2025-01-03,2025-01-03 09:21:00,2025-01-03 09:40:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00000062,A001,2025-01-03,2025-01-03 09:40:00,2025-01-03 11:00:00,Offline Work,Training,,,1,1,SharePoint Tracker,80.0
ACT00000063,A001,2025-01-03,2025-01-03 11:00:00,2025-01-03 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00000064,A001,2025-01-03,2025-01-03 11:30:00,2025-01-03 11:40:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,10.0
ACT00000065,A001,2025-01-03,2025-01-03 11:42:00,2025-01-03 12:03:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,21.0
ACT00000066,A001,2025-01-03,2025-01-03 12:06:00,2025-01-03 12:57:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,51.0
ACT00000067,A001,2025-01-03,2025-01-03 12:57:00,2025-01-03 13:16:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00000068,A001,2025-01-03,2025-01-03 13:16:00,2025-01-03 13:26:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,10.0
ACT00000069,A001,2025-01-03,2025-01-03 13:27:00,2025-01-03 13:41:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00000070,A001,2025-01-03,2025-01-03 13:44:00,2025-01-03 14:54:00,Offline Work,Training,,,1,1,SharePoint Tracker,70.0
ACT00000071,A001,2025-01-03,2025-01-03 14:54:00,2025-01-03 15:08:00,Offline Work,Break,,,0,1,Queue Manager,14.0
ACT00000072,A001,2025-01-03,2025-01-03 15:08:00,2025-01-03 15:20:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,12.0
ACT00000073,A001,2025-01-03,2025-01-03 15:20:00,2025-01-03 15:31:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,11.0
ACT00000074,A001,2025-01-03,2025-01-03 15:31:00,2025-01-03 15:45:00,Offline Work,Break,,,0,1,Queue Manager,14.0
ACT00000075,A001,2025-01-03,2025-01-03 15:45:00,2025-01-03 16:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,15.0
ACT00000076,A001,2025-01-06,2025-01-06 07:00:00,2025-01-06 07:11:00,Offline Work,Admin,,,1,1,SharePoint Tracker,11.0
ACT00000077,A001,2025-01-06,2025-01-06 07:11:00,2025-01-06 07:36:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,25.0
ACT00000078,A001,2025-01-06,2025-01-06 07:36:00,2025-01-06 08:08:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,32.0
ACT00000079,A001,2025-01-06,2025-01-06 08:08:00,2025-01-06 08:21:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,13.0
ACT00000080,A001,2025-01-06,2025-01-06 08:22:00,2025-01-06 08:36:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,14.0
ACT00000081,A001,2025-01-06,2025-01-06 08:36:00,2025-01-06 08:53:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,17.0
ACT00000082,A001,2025-01-06,2025-01-06 08:55:00,2025-01-06 09:07:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,12.0
ACT00000083,A001,2025-01-06,2025-01-06 09:10:00,2025-01-06 09:20:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,10.0
ACT00000084,A001,2025-01-06,2025-01-06 09:21:00,2025-01-06 09:42:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,21.0
ACT00000085,A001,2025-01-06,2025-01-06 09:42:00,2025-01-06 09:56:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00000086,A001,2025-01-06,2025-01-06 09:58:00,2025-01-06 10:20:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,22.0
ACT00000087,A001,2025-01-06,2025-01-06 10:20:00,2025-01-06 10:34:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00000088,A001,2025-01-06,2025-01-06 10:37:00,2025-01-06 10:50:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,13.0
ACT00000089,A001,2025-01-06,2025-01-06 10:50:00,2025-01-06 11:00:00,Offline Work,Training,,,1,1,SharePoint Tracker,10.0
ACT00000090,A001,2025-01-06,2025-01-06 11:00:00,2025-01-06 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00000091,A001,2025-01-06,2025-01-06 11:30:00,2025-01-06 11:45:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,15.0
ACT00000092,A001,2025-01-06,2025-01-06 11:45:00,2025-01-06 12:01:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00000093,A001,2025-01-06,2025-01-06 12:01:00,2025-01-06 12:34:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,33.0
ACT00000094,A001,2025-01-06,2025-01-06 12:34:00,2025-01-06 13:13:00,Case Work,Case Processing,,Documentation,1,1,Salesforce,39.0
ACT00000095,A001,2025-01-06,2025-01-06 13:13:00,2025-01-06 13:22:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,9.0
ACT00000096,A001,2025-01-06,2025-01-06 13:22:00,2025-01-06 13:36:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00000097,A001,2025-01-06,2025-01-06 13:36:00,2025-01-06 13:49:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00000098,A001,2025-01-06,2025-01-06 13:49:00,2025-01-06 14:06:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,17.0
ACT00000099,A001,2025-01-06,2025-01-06 14:06:00,2025-01-06 14:20:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00000100,A001,2025-01-06,2025-01-06 14:20:00,2025-01-06 14:36:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,16.0
ACT00000101,A001,2025-01-06,2025-01-06 14:36:00,2025-01-06 14:45:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00000102,A001,2025-01-06,2025-01-06 14:45:00,2025-01-06 14:55:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,10.0
ACT00000103,A001,2025-01-06,2025-01-06 14:55:00,2025-01-06 15:08:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,13.0
ACT00000104,A001,2025-01-06,2025-01-06 15:08:00,2025-01-06 15:21:00,Offline Work,Break,,,0,1,Queue Manager,13.0
ACT00000105,A001,2025-01-06,2025-01-06 15:21:00,2025-01-06 15:37:00,Offline Work,Admin,,,1,1,SharePoint Tracker,16.0
ACT00000106,A001,2025-01-06,2025-01-06 15:37:00,2025-01-06 15:53:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00000107,A001,2025-01-06,2025-01-06 15:53:00,2025-01-06 16:00:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,7.0
ACT00000108,A001,2025-01-07,2025-01-07 07:15:00,2025-01-07 07:31:00,Offline Work,Admin,,,1,1,SharePoint Tracker,16.0
ACT00000109,A001,2025-01-07,2025-01-07 07:31:00,2025-01-07 07:42:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,11.0
ACT00000110,A001,2025-01-07,2025-01-07 07:43:00,2025-01-07 08:39:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,56.0
ACT00000111,A001,2025-01-07,2025-01-07 08:39:00,2025-01-07 09:05:00,Offline Work,Coaching,,,1,1,SharePoint Tracker,26.0
ACT00000112,A001,2025-01-07,2025-01-07 09:05:00,2025-01-07 09:45:00,Offline Work,System Issue,,,0,1,IT Incident Log,40.0
ACT00000113,A001,2025-01-07,2025-01-07 09:45:00,2025-01-07 09:58:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00000114,A001,2025-01-07,2025-01-07 09:58:00,2025-01-07 10:23:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,25.0
ACT00000115,A001,2025-01-07,2025-01-07 10:23:00,2025-01-07 10:36:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00000116,A001,2025-01-07,2025-01-07 10:36:00,2025-01-07 10:52:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00000117,A001,2025-01-07,2025-01-07 10:52:00,2025-01-07 11:00:00,Offline Work,Break,,,0,1,Queue Manager,8.0
ACT00000118,A001,2025-01-07,2025-01-07 11:00:00,2025-01-07 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00000119,A001,2025-01-07,2025-01-07 11:30:00,2025-01-07 11:44:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,14.0
ACT00000120,A001,2025-01-07,2025-01-07 11:44:00,2025-01-07 13:37:00,Offline Work,Training,,,1,1,SharePoint Tracker,113.0
ACT00000121,A001,2025-01-07,2025-01-07 13:37:00,2025-01-07 13:50:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,13.0
ACT00000122,A001,2025-01-07,2025-01-07 13:50:00,2025-01-07 14:34:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,44.0
ACT00000123,A001,2025-01-07,2025-01-07 14:34:00,2025-01-07 14:52:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,18.0
ACT00000124,A001,2025-01-07,2025-01-07 14:52:00,2025-01-07 15:12:00,Case Work,Case Processing,,Documentation,1,1,Salesforce,20.0
ACT00000125,A001,2025-01-07,2025-01-07 15:14:00,2025-01-07 15:34:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,20.0
ACT00000126,A001,2025-01-07,2025-01-07 15:34:00,2025-01-07 15:48:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,14.0
ACT00000127,A001,2025-01-07,2025-01-07 15:50:00,2025-01-07 16:00:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,10.0
ACT00000128,A001,2025-01-08,2025-01-08 07:00:00,2025-01-08 07:38:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,38.0
ACT00000129,A001,2025-01-08,2025-01-08 07:38:00,2025-01-08 07:46:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,8.0
ACT00000130,A001,2025-01-08,2025-01-08 07:49:00,2025-01-08 07:59:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,10.0
ACT00000131,A001,2025-01-08,2025-01-08 07:59:00,2025-01-08 08:42:00,Offline Work,Coaching,,,1,1,SharePoint Tracker,43.0
ACT00000132,A001,2025-01-08,2025-01-08 08:42:00,2025-01-08 08:55:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,13.0
ACT00000133,A001,2025-01-08,2025-01-08 08:58:00,2025-01-08 09:14:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,16.0
ACT00000134,A001,2025-01-08,2025-01-08 09:14:00,2025-01-08 09:18:00,Offline Work,Waiting for Work,,,0,1,Queue Manager,4.0
ACT00000135,A001,2025-01-08,2025-01-08 09:18:00,2025-01-08 09:43:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,25.0
ACT00000136,A001,2025-01-08,2025-01-08 09:43:00,2025-01-08 10:28:00,Offline Work,Unplanned Offline,,,0,0,Queue Manager,45.0
ACT00000137,A001,2025-01-08,2025-01-08 10:28:00,2025-01-08 10:40:00,Offline Work,Break,,,0,1,Queue Manager,12.0
ACT00000138,A001,2025-01-08,2025-01-08 10:40:00,2025-01-08 10:59:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,19.0
ACT00000139,A001,2025-01-08,2025-01-08 10:59:00,2025-01-08 11:00:00,Offline Work,Email Support,,,1,1,Queue Manager,1.0
ACT00000140,A001,2025-01-08,2025-01-08 11:00:00,2025-01-08 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00000141,A001,2025-01-08,2025-01-08 11:30:00,2025-01-08 12:12:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,42.0
ACT00000142,A001,2025-01-08,2025-01-08 12:12:00,2025-01-08 12:21:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00000143,A001,2025-01-08,2025-01-08 12:24:00,2025-01-08 12:31:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,7.0
ACT00000144,A001,2025-01-08,2025-01-08 12:34:00,2025-01-08 13:12:00,Offline Work,Coaching,,,1,1,SharePoint Tracker,38.0
ACT00000145,A001,2025-01-08,2025-01-08 13:12:00,2025-01-08 13:24:00,Offline Work,Email Support,,,1,1,Queue Manager,12.0
ACT00000146,A001,2025-01-08,2025-01-08 13:24:00,2025-01-08 13:43:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,19.0
ACT00000147,A001,2025-01-08,2025-01-08 13:43:00,2025-01-08 14:01:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,18.0
ACT00000148,A001,2025-01-08,2025-01-08 14:01:00,2025-01-08 14:11:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,10.0
ACT00000149,A001,2025-01-08,2025-01-08 14:12:00,2025-01-08 14:56:00,Offline Work,Unplanned Offline,,,0,0,Queue Manager,44.0
ACT00000150,A001,2025-01-08,2025-01-08 14:56:00,2025-01-08 15:15:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,19.0
ACT00000151,A001,2025-01-08,2025-01-08 15:15:00,2025-01-08 15:28:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,13.0
ACT00000152,A001,2025-01-08,2025-01-08 15:28:00,2025-01-08 15:44:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,16.0
ACT00000153,A001,2025-01-08,2025-01-08 15:44:00,2025-01-08 15:59:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,15.0
ACT00000154,A001,2025-01-08,2025-01-08 15:59:00,2025-01-08 16:00:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,1.0
ACT00000155,A001,2025-01-09,2025-01-09 07:00:00,2025-01-09 07:20:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,20.0
ACT00000156,A001,2025-01-09,2025-01-09 07:20:00,2025-01-09 07:36:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00000157,A001,2025-01-09,2025-01-09 07:37:00,2025-01-09 07:46:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00000158,A001,2025-01-09,2025-01-09 07:46:00,2025-01-09 08:02:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,16.0
ACT00000159,A001,2025-01-09,2025-01-09 08:02:00,2025-01-09 08:16:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,14.0
ACT00000160,A001,2025-01-09,2025-01-09 08:16:00,2025-01-09 08:31:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,15.0
ACT00000161,A001,2025-01-09,2025-01-09 08:31:00,2025-01-09 08:39:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,8.0
ACT00000162,A001,2025-01-09,2025-01-09 08:39:00,2025-01-09 08:49:00,Offline Work,Break,,,0,1,Queue Manager,10.0
ACT00000163,A001,2025-01-09,2025-01-09 08:49:00,2025-01-09 08:59:00,Case Work,Case Processing,,Eligibility,1,1,Salesforce,10.0
ACT00000164,A001,2025-01-09,2025-01-09 08:59:00,2025-01-09 09:10:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,11.0
ACT00000165,A001,2025-01-09,2025-01-09 09:10:00,2025-01-09 09:31:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,21.0
ACT00000166,A001,2025-01-09,2025-01-09 09:31:00,2025-01-09 09:45:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,14.0
ACT00000167,A001,2025-01-09,2025-01-09 09:48:00,2025-01-09 10:22:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,34.0
ACT00000168,A001,2025-01-09,2025-01-09 10:24:00,2025-01-09 10:46:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,22.0
ACT00000169,A001,2025-01-09,2025-01-09 10:46:00,2025-01-09 11:00:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,14.0
ACT00000170,A001,2025-01-09,2025-01-09 11:00:00,2025-01-09 11:30:00,Offline Work,Lunch,,,0,1,Queue Manager,30.0
ACT00000171,A001,2025-01-09,2025-01-09 11:30:00,2025-01-09 12:08:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,38.0
ACT00000172,A001,2025-01-09,2025-01-09 12:08:00,2025-01-09 12:17:00,Phone Call,Inbound Call,Member Services,,1,1,Queue Manager,9.0
ACT00000173,A001,2025-01-09,2025-01-09 12:17:00,2025-01-09 12:30:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,13.0
ACT00000174,A001,2025-01-09,2025-01-09 12:30:00,2025-01-09 12:43:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,13.0
ACT00000175,A001,2025-01-09,2025-01-09 12:43:00,2025-01-09 13:01:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,18.0
ACT00000176,A001,2025-01-09,2025-01-09 13:01:00,2025-01-09 13:35:00,Case Work,Case Processing,,Follow Up,1,1,Salesforce,34.0
ACT00000177,A001,2025-01-09,2025-01-09 13:35:00,2025-01-09 13:46:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,11.0
ACT00000178,A001,2025-01-09,2025-01-09 13:49:00,2025-01-09 14:15:00,Case Work,Case Processing,,Appeal,1,1,Salesforce,26.0
ACT00000179,A001,2025-01-09,2025-01-09 14:15:00,2025-01-09 14:31:00,Phone Call,Inbound Call,Claims Support,,1,1,Queue Manager,16.0
ACT00000180,A001,2025-01-09,2025-01-09 14:31:00,2025-01-09 14:39:00,Phone Call,Inbound Call,Billing Support,,1,1,Queue Manager,8.0
ACT00000181,A001,2025-01-09,2025-01-09 14:39:00,2025-01-09 15:09:00,Case Work,Case Processing,,Prior Authorization,1,1,Salesforce,30.0
ACT00000182,A001,2025-01-09,2025-01-09 15:11:00,2025-01-09 15:46:00,Offline Work,Team Meeting,,,1,1,SharePoint Tracker,35.0
ACT00000183,A001,2025-01-09,2025-01-09 15:46:00,2025-01-09 16:00:00,Phone Call,Inbound Call,Technical Support,,1,1,Queue Manager,14.0
