schedule_id,master_agent_id,schedule_date,scheduled_start,scheduled_end,scheduled_minutes,planned_lunch_start,planned_lunch_end,planned_lunch_minutes
S0000043,A001,2025-02-26,2025-02-26 07:00:00,2025-02-26 16:00:00,540,2025-02-26 11:00:00,2025-02-26 11:30:00,30
S0000044,A001,2025-02-27,2025-02-27 07:00:00,2025-02-27 16:00:00,540,2025-02-27 11:00:00,2025-02-27 11:30:00,30
S0000045,A001,2025-02-28,2025-02-28 07:00:00,2025-02-28 16:00:00,540,2025-02-28 11:00:00,2025-02-28 11:30:00,30
S0000046,A001,2025-03-03,2025-03-03 07:00:00,2025-03-03 16:00:00,540,2025-03-03 11:00:00,2025-03-03 11:30:00,30
S0000047,A001,2025-03-04,2025-03-04 07:00:00,2025-03-04 16:00:00,540,2025-03-04 11:00:00,2025-03-04 11:30:00,30
S0000048,A001,2025-03-05,2025-03-05 07:00:00,2025-03-05 16:00:00,540,2025-03-05 11:00:00,2025-03-05 11:30:00,30
S0000049,A001,2025-03-06,2025-03-06 07:00:00,2025-03-06 16:00:00,540,2025-03-06 11:00:00,2025-03-06 11:30:00,30
S0000050,A001,2025-03-07,2025-03-07 07:00:00,2025-03-07 16:00:00,540,2025-03-07 11:00:00,2025-03-07 11:30:00,30
S0000051,A001,2025-03-10,2025-03-10 07:00:00,2025-03-10 16:00:00,540,2025-03-10 11:00:00,2025-03-10 11:30:00,30
S0000052,A001,2025-03-11,2025-03-11 07:00:00,2025-03-11 16:00:00,540,2025-03-11 11:00:00,2025-03-11 11:30:00,30
S0000053,A001,2025-03-12,2025-03-12 07:00:00,2025-03-12 16:00:00,540,2025-03-12 11:00:00,2025-03-12 11:30:00,30
S0000054,A001,2025-03-13,2025-03-13 07:00:00,2025-03-13 16:00:00,540,2025-03-13 11:00:00,2025-03-13 11:30:00,30
S0000055,A001,2025-03-14,2025-03-14 07:00:00,2025-03-14 16:00:00,540,2025-03-14 11:00:00,2025-03-14 11:30:00,30
S0000056,A001,2025-03-15,2025-03-15 07:00:00,2025-03-15 16:00:00,540,2025-03-15 11:00:00,2025-03-15 11:30:00,30
S0000057,A001,2025-03-17,2025-03-17 07:00:00,2025-03-17 16:00:00,540,2025-03-17 11:00:00,2025-03-17 11:30:00,30
S0000058,A001,2025-03-18,2025-03-18 07:00:00,2025-03-18 16:00:00,540,2025-03-18 11:00:00,2025-03-18 11:30:00,30
S0000059,A001,2025-03-19,2025-03-19 07:00:00,2025-03-19 16:00:00,540,2025-03-19 11:00:00,2025-03-19 11:30:00,30
S0000060,A001,2025-03-20,2025-03-20 07:00:00,2025-03-20 16:00:00,540,2025-03-20 11:00:00,2025-03-20 11:30:00,30
S0000061,A001,2025-03-21,2025-03-21 07:00:00,2025-03-21 16:00:00,540,2025-03-21 11:00:00,2025-03-21 11:30:00,30
S0000062,A001,2025-03-22,2025-03-22 07:00:00,2025-03-22 16:00:00,540,2025-03-22 11:00:00,2025-03-22 11:30:00,30
S0000063,A001,2025-03-24,2025-03-24 07:00:00,2025-03-24 16:00:00,540,2025-03-24 11:00:00,2025-03-24 11:30:00,30
S0000064,A001,2025-03-25,2025-03-25 07:00:00,2025-03-25 16:00:00,540,2025-03-25 11:00:00,2025-03-25 11:30:00,30
S0000065,A001,2025-03-26,2025-03-26 07:00:00,2025-03-26 16:00:00,540,2025-03-26 11:00:00,2025-03-26 11:30:00,30
S0000066,A001,2025-03-27,2025-03-27 07:00:00,2025-03-27 16:00:00,540,2025-03-27 11:00:00,2025-03-27 11:30:00,30
S0000067,A001,2025-03-28,2025-03-28 07:00:00,2025-03-28 16:00:00,540,2025-03-28 11:00:00,2025-03-28 11:30:00,30
S0000068,A001,2025-03-31,2025-03-31 07:00:00,2025-03-31 16:00:00,540,2025-03-31 11:00:00,2025-03-31 11:30:00,30
S0000069,A002,2025-01-01,2025-01-01 07:00:00,2025-01-01 16:00:00,540,2025-01-01 11:00:00,2025-01-01 11:30:00,30
S0000070,A002,2025-01-02,2025-01-02 07:00:00,2025-01-02 16:00:00,540,2025-01-02 11:00:00,2025-01-02 11:30:00,30
S0000071,A002,2025-01-03,2025-01-03 07:00:00,2025-01-03 16:00:00,540,2025-01-03 11:00:00,2025-01-03 11:30:00,30
S0000072,A002,2025-01-04,2025-01-04 07:00:00,2025-01-04 16:00:00,540,2025-01-04 11:00:00,2025-01-04 11:30:00,30
S0000073,A002,2025-01-06,2025-01-06 07:00:00,2025-01-06 16:00:00,540,2025-01-06 11:00:00,2025-01-06 11:30:00,30
S0000074,A002,2025-01-07,2025-01-07 07:00:00,2025-01-07 16:00:00,540,2025-01-07 11:00:00,2025-01-07 11:30:00,30
S0000075,A002,2025-01-08,2025-01-08 07:00:00,2025-01-08 16:00:00,540,2025-01-08 11:00:00,2025-01-08 11:30:00,30
S0000076,A002,2025-01-09,2025-01-09 07:00:00,2025-01-09 16:00:00,540,2025-01-09 11:00:00,2025-01-09 11:30:00,30
S0000077,A002,2025-01-10,2025-01-10 07:00:00,2025-01-10 16:00:00,540,2025-01-10 11:00:00,2025-01-10 11:30:00,30
S0000078,A002,2025-01-12,2025-01-12 07:00:00,2025-01-12 16:00:00,540,2025-01-12 11:00:00,2025-01-12 11:30:00,30
S0000079,A002,2025-01-13,2025-01-13 07:00:00,2025-01-13 16:00:00,540,2025-01-13 11:00:00,2025-01-13 11:30:00,30
S0000080,A002,2025-01-14,2025-01-14 07:00:00,2025-01-14 16:00:00,540,2025-01-14 11:00:00,2025-01-14 11:30:00,30
S0000081,A002,2025-01-15,2025-01-15 07:00:00,2025-01-15 16:00:00,540,2025-01-15 11:00:00,2025-01-15 11:30:00,30
S0000082,A002,2025-01-16,2025-01-16 07:00:00,2025-01-16 16:00:00,540,2025-01-16 11:00:00,2025-01-16 11:30:00,30
S0000083,A002,2025-01-17,2025-01-17 07:00:00,2025-01-17 16:00:00,540,2025-01-17 11:00:00,2025-01-17 11:30:00,30
S0000084,A002,2025-01-18,2025-01-18 07:00:00,2025-01-18 16:00:00,540,2025-01-18 11:00:00,2025-01-18 11:30:00,30
S0000085,A002,2025-01-20,2025-01-20 07:00:00,2025-01-20 16:00:00,540,2025-01-20 11:00:00,2025-01-20 11:30:00,30
S0000086,A002,2025-01-21,2025-01-21 07:00:00,2025-01-21 16:00:00,540,2025-01-21 11:00:00,2025-01-21 11:30:00,30
S0000087,A002,2025-01-22,2025-01-22 07:00:00,2025-01-22 16:00:00,540,2025-01-22 11:00:00,2025-01-22 11:30:00,30
S0000088,A002,2025-01-23,2025-01-23 07:00:00,2025-01-23 16:00:00,540,2025-01-23 11:00:00,2025-01-23 11:30:00,30
S0000089,A002,2025-01-24,2025-01-24 07:00:00,2025-01-24 16:00:00,540,2025-01-24 11:00:00,2025-01-24 11:30:00,30
S0000090,A002,2025-01-27,2025-01-27 07:00:00,2025-01-27 16:00:00,540,2025-01-27 11:00:00,2025-01-27 11:30:00,30
S0000091,A002,2025-01-28,2025-01-28 07:00:00,2025-01-28 16:00:00,540,2025-01-28 11:00:00,2025-01-28 11:30:00,30
S0000092,A002,2025-01-29,2025-01-29 07:00:00,2025-01-29 16:00:00,540,2025-01-29 11:00:00,2025-01-29 11:30:00,30
S0000093,A002,2025-01-30,2025-01-30 07:00:00,2025-01-30 16:00:00,540,2025-01-30 11:00:00,2025-01-30 11:30:00,30
S0000094,A002,2025-01-31,2025-01-31 07:00:00,2025-01-31 16:00:00,540,2025-01-31 11:00:00,2025-01-31 11:30:00,30
S0000095,A002,2025-02-03,2025-02-03 07:00:00,2025-02-03 16:00:00,540,2025-02-03 11:00:00,2025-02-03 11:30:00,30
S0000096,A002,2025-02-04,2025-02-04 07:00:00,2025-02-04 16:00:00,540,2025-02-04 11:00:00,2025-02-04 11:30:00,30
S0000097,A002,2025-02-05,2025-02-05 07:00:00,2025-02-05 16:00:00,540,2025-02-05 11:00:00,2025-02-05 11:30:00,30
S0000098,A002,2025-02-06,2025-02-06 07:00:00,2025-02-06 16:00:00,540,2025-02-06 11:00:00,2025-02-06 11:30:00,30
S0000099,A002,2025-02-07,2025-02-07 07:00:00,2025-02-07 16:00:00,540,2025-02-07 11:00:00,2025-02-07 11:30:00,30
S0000100,A002,2025-02-10,2025-02-10 07:00:00,2025-02-10 16:00:00,540,2025-02-10 11:00:00,2025-02-10 11:30:00,30
S0000101,A002,2025-02-11,2025-02-11 07:00:00,2025-02-11 16:00:00,540,2025-02-11 11:00:00,2025-02-11 11:30:00,30
S0000102,A002,2025-02-12,2025-02-12 07:00:00,2025-02-12 16:00:00,540,2025-02-12 11:00:00,2025-02-12 11:30:00,30
S0000103,A002,2025-02-13,2025-02-13 07:00:00,2025-02-13 16:00:00,540,2025-02-13 11:00:00,2025-02-13 11:30:00,30
S0000104,A002,2025-02-14,2025-02-14 07:00:00,2025-02-14 16:00:00,540,2025-02-14 11:00:00,2025-02-14 11:30:00,30
S0000105,A002,2025-02-17,2025-02-17 07:00:00,2025-02-17 16:00:00,540,2025-02-17 11:00:00,2025-02-17 11:30:00,30
S0000106,A002,2025-02-18,2025-02-18 07:00:00,2025-02-18 16:00:00,540,2025-02-18 11:00:00,2025-02-18 11:30:00,30
S0000107,A002,2025-02-19,2025-02-19 07:00:00,2025-02-19 16:00:00,540,2025-02-19 11:00:00,2025-02-19 11:30:00,30
S0000108,A002,2025-02-20,2025-02-20 07:00:00,2025-02-20 16:00:00,540,2025-02-20 11:00:00,2025-02-20 11:30:00,30
S0000109,A002,2025-02-21,2025-02-21 07:00:00,2025-02-21 16:00:00,540,2025-02-21 11:00:00,2025-02-21 11:30:00,30
S0000110,A002,2025-02-24,2025-02-24 07:00:00,2025-02-24 16:00:00,540,2025-02-24 11:00:00,2025-02-24 11:30:00,30
S0000111,A002,2025-02-25,2025-02-25 07:00:00,2025-02-25 16:00:00,540,2025-02-25 11:00:00,2025-02-25 11:30:00,30
S0000112,A002,2025-02-26,2025-02-26 07:00:00,2025-02-26 16:00:00,540,2025-02-26 11:00:00,2025-02-26 11:30:00,30
S0000113,A002,2025-02-27,2025-02-27 07:00:00,2025-02-27 16:00:00,540,2025-02-27 11:00:00,2025-02-27 11:30:00,30
S0000114,A002,2025-02-28,2025-02-28 07:00:00,2025-02-28 16:00:00,540,2025-02-28 11:00:00,2025-02-28 11:30:00,30
S0000115,A002,2025-03-03,2025-03-03 07:00:00,2025-03-03 16:00:00,540,2025-03-03 11:00:00,2025-03-03 11:30:00,30
S0000116,A002,2025-03-04,2025-03-04 07:00:00,2025-03-04 16:00:00,540,2025-03-04 11:00:00,2025-03-04 11:30:00,30
S0000117,A002,2025-03-05,2025-03-05 07:00:00,2025-03-05 16:00:00,540,2025-03-05 11:00:00,2025-03-05 11:30:00,30
S0000118,A002,2025-03-06,2025-03-06 07:00:00,2025-03-06 16:00:00,540,2025-03-06 11:00:00,2025-03-06 11:30:00,30
S0000119,A002,2025-03-07,2025-03-07 07:00:00,2025-03-07 16:00:00,540,2025-03-07 11:00:00,2025-03-07 11:30:00,30
S0000120,A002,2025-03-10,2025-03-10 07:00:00,2025-03-10 16:00:00,540,2025-03-10 11:00:00,2025-03-10 11:30:00,30
S0000121,A002,2025-03-11,2025-03-11 07:00:00,2025-03-11 16:00:00,540,2025-03-11 11:00:00,2025-03-11 11:30:00,30
S0000122,A002,2025-03-12,2025-03-12 07:00:00,2025-03-12 16:00:00,540,2025-03-12 11:00:00,2025-03-12 11:30:00,30
S0000123,A002,2025-03-13,2025-03-13 07:00:00,2025-03-13 16:00:00,540,2025-03-13 11:00:00,2025-03-13 11:30:00,30
S0000124,A002,2025-03-14,2025-03-14 07:00:00,2025-03-14 16:00:00,540,2025-03-14 11:00:00,2025-03-14 11:30:00,30
S0000125,A002,2025-03-15,2025-03-15 07:00:00,2025-03-15 16:00:00,540,2025-03-15 11:00:00,2025-03-15 11:30:00,30
S0000126,A002,2025-03-17,2025-03-17 07:00:00,2025-03-17 16:00:00,540,2025-03-17 11:00:00,2025-03-17 11:30:00,30
S0000127,A002,2025-03-18,2025-03-18 07:00:00,2025-03-18 16:00:00,540,2025-03-18 11:00:00,2025-03-18 11:30:00,30
S0000128,A002,2025-03-19,2025-03-19 07:00:00,2025-03-19 16:00:00,540,2025-03-19 11:00:00,2025-03-19 11:30:00,30
S0000129,A002,2025-03-20,2025-03-20 07:00:00,2025-03-20 16:00:00,540,2025-03-20 11:00:00,2025-03-20 11:30:00,30
S0000130,A002,2025-03-21,2025-03-21 07:00:00,2025-03-21 16:00:00,540,2025-03-21 11:00:00,2025-03-21 11:30:00,30
S0000131,A002,2025-03-24,2025-03-24 07:00:00,2025-03-24 16:00:00,540,2025-03-24 11:00:00,2025-03-24 11:30:00,30
S0000132,A002,2025-03-25,2025-03-25 07:00:00,2025-03-25 16:00:00,540,2025-03-25 11:00:00,2025-03-25 11:30:00,30
S0000133,A002,2025-03-26,2025-03-26 07:00:00,2025-03-26 16:00:00,540,2025-03-26 11:00:00,2025-03-26 11:30:00,30
S0000134,A002,2025-03-27,2025-03-27 07:00:00,2025-03-27 16:00:00,540,2025-03-27 11:00:00,2025-03-27 11:30:00,30
S0000135,A002,2025-03-28,2025-03-28 07:00:00,2025-03-28 16:00:00,540,2025-03-28 11:00:00,2025-03-28 11:30:00,30
S0000136,A002,2025-03-31,2025-03-31 07:00:00,2025-03-31 16:00:00,540,2025-03-31 11:00:00,2025-03-31 11:30:00,30
S0000137,A003,2025-01-01,2025-01-01 09:00:00,2025-01-01 18:00:00,540,2025-01-01 13:00:00,2025-01-01 13:30:00,30
S0000138,A003,2025-01-02,2025-01-02 09:00:00,2025-01-02 18:00:00,540,2025-01-02 13:00:00,2025-01-02 13:30:00,30
S0000139,A003,2025-01-03,2025-01-03 09:00:00,2025-01-03 18:00:00,540,2025-01-03 13:00:00,2025-01-03 13:30:00,30
S0000140,A003,2025-01-05,2025-01-05 09:00:00,2025-01-05 18:00:00,540,2025-01-05 13:00:00,2025-01-05 13:30:00,30
S0000141,A003,2025-01-06,2025-01-06 09:00:00,2025-01-06 18:00:00,540,2025-01-06 13:00:00,2025-01-06 13:30:00,30
S0000142,A003,2025-01-07,2025-01-07 09:00:00,2025-01-07 18:00:00,540,2025-01-07 13:00:00,2025-01-07 13:30:00,30
S0000143,A003,2025-01-08,2025-01-08 09:00:00,2025-01-08 18:00:00,540,2025-01-08 13:00:00,2025-01-08 13:30:00,30
S0000144,A003,2025-01-09,2025-01-09 09:00:00,2025-01-09 18:00:00,540,2025-01-09 13:00:00,2025-01-09 13:30:00,30
S0000145,A003,2025-01-10,2025-01-10 09:00:00,2025-01-10 18:00:00,540,2025-01-10 13:00:00,2025-01-10 13:30:00,30
S0000146,A003,2025-01-13,2025-01-13 09:00:00,2025-01-13 18:00:00,540,2025-01-13 13:00:00,2025-01-13 13:30:00,30
S0000147,A003,2025-01-14,2025-01-14 09:00:00,2025-01-14 18:00:00,540,2025-01-14 13:00:00,2025-01-14 13:30:00,30
S0000148,A003,2025-01-15,2025-01-15 09:00:00,2025-01-15 18:00:00,540,2025-01-15 13:00:00,2025-01-15 13:30:00,30
S0000149,A003,2025-01-16,2025-01-16 09:00:00,2025-01-16 18:00:00,540,2025-01-16 13:00:00,2025-01-16 13:30:00,30
S0000150,A003,2025-01-17,2025-01-17 09:00:00,2025-01-17 18:00:00,540,2025-01-17 13:00:00,2025-01-17 13:30:00,30
S0000151,A003,2025-01-18,2025-01-18 09:00:00,2025-01-18 18:00:00,540,2025-01-18 13:00:00,2025-01-18 13:30:00,30
S0000152,A003,2025-01-20,2025-01-20 09:00:00,2025-01-20 18:00:00,540,2025-01-20 13:00:00,2025-01-20 13:30:00,30
S0000153,A003,2025-01-21,2025-01-21 09:00:00,2025-01-21 18:00:00,540,2025-01-21 13:00:00,2025-01-21 13:30:00,30
S0000154,A003,2025-01-22,2025-01-22 09:00:00,2025-01-22 18:00:00,540,2025-01-22 13:00:00,2025-01-22 13:30:00,30
S0000155,A003,2025-01-23,2025-01-23 09:00:00,2025-01-23 18:00:00,540,2025-01-23 13:00:00,2025-01-23 13:30:00,30
S0000156,A003,2025-01-24,2025-01-24 09:00:00,2025-01-24 18:00:00,540,2025-01-24 13:00:00,2025-01-24 13:30:00,30
S0000157,A003,2025-01-27,2025-01-27 09:00:00,2025-01-27 18:00:00,540,2025-01-27 13:00:00,2025-01-27 13:30:00,30
S0000158,A003,2025-01-28,2025-01-28 09:00:00,2025-01-28 18:00:00,540,2025-01-28 13:00:00,2025-01-28 13:30:00,30
S0000159,A003,2025-01-29,2025-01-29 09:00:00,2025-01-29 18:00:00,540,2025-01-29 13:00:00,2025-01-29 13:30:00,30
S0000160,A003,2025-01-31,2025-01-31 09:00:00,2025-01-31 18:00:00,540,2025-01-31 13:00:00,2025-01-31 13:30:00,30
S0000161,A003,2025-02-03,2025-02-03 09:00:00,2025-02-03 18:00:00,540,2025-02-03 13:00:00,2025-02-03 13:30:00,30
S0000162,A003,2025-02-04,2025-02-04 09:00:00,2025-02-04 18:00:00,540,2025-02-04 13:00:00,2025-02-04 13:30:00,30
S0000163,A003,2025-02-05,2025-02-05 09:00:00,2025-02-05 18:00:00,540,2025-02-05 13:00:00,2025-02-05 13:30:00,30
S0000164,A003,2025-02-06,2025-02-06 09:00:00,2025-02-06 18:00:00,540,2025-02-06 13:00:00,2025-02-06 13:30:00,30
S0000165,A003,2025-02-07,2025-02-07 09:00:00,2025-02-07 18:00:00,540,2025-02-07 13:00:00,2025-02-07 13:30:00,30
S0000166,A003,2025-02-10,2025-02-10 09:00:00,2025-02-10 18:00:00,540,2025-02-10 13:00:00,2025-02-10 13:30:00,30
S0000167,A003,2025-02-11,2025-02-11 09:00:00,2025-02-11 18:00:00,540,2025-02-11 13:00:00,2025-02-11 13:30:00,30
S0000168,A003,2025-02-12,2025-02-12 09:00:00,2025-02-12 18:00:00,540,2025-02-12 13:00:00,2025-02-12 13:30:00,30
S0000169,A003,2025-02-13,2025-02-13 09:00:00,2025-02-13 18:00:00,540,2025-02-13 13:00:00,2025-02-13 13:30:00,30
S0000170,A003,2025-02-14,2025-02-14 09:00:00,2025-02-14 18:00:00,540,2025-02-14 13:00:00,2025-02-14 13:30:00,30
S0000171,A003,2025-02-16,2025-02-16 09:00:00,2025-02-16 18:00:00,540,2025-02-16 13:00:00,2025-02-16 13:30:00,30
S0000172,A003,2025-02-18,2025-02-18 09:00:00,2025-02-18 18:00:00,540,2025-02-18 13:00:00,2025-02-18 13:30:00,30
S0000173,A003,2025-02-19,2025-02-19 09:00:00,2025-02-19 18:00:00,540,2025-02-19 13:00:00,2025-02-19 13:30:00,30
S0000174,A003,2025-02-20,2025-02-20 09:00:00,2025-02-20 18:00:00,540,2025-02-20 13:00:00,2025-02-20 13:30:00,30
S0000175,A003,2025-02-21,2025-02-21 09:00:00,2025-02-21 18:00:00,540,2025-02-21 13:00:00,2025-02-21 13:30:00,30
S0000176,A003,2025-02-24,2025-02-24 09:00:00,2025-02-24 18:00:00,540,2025-02-24 13:00:00,2025-02-24 13:30:00,30
S0000177,A003,2025-02-25,2025-02-25 09:00:00,2025-02-25 18:00:00,540,2025-02-25 13:00:00,2025-02-25 13:30:00,30
S0000178,A003,2025-02-26,2025-02-26 09:00:00,2025-02-26 18:00:00,540,2025-02-26 13:00:00,2025-02-26 13:30:00,30
S0000179,A003,2025-02-27,2025-02-27 09:00:00,2025-02-27 18:00:00,540,2025-02-27 13:00:00,2025-02-27 13:30:00,30
S0000180,A003,2025-02-28,2025-02-28 09:00:00,2025-02-28 18:00:00,540,2025-02-28 13:00:00,2025-02-28 13:30:00,30
S0000181,A003,2025-03-03,2025-03-03 09:00:00,2025-03-03 18:00:00,540,2025-03-03 13:00:00,2025-03-03 13:30:00,30
S0000182,A003,2025-03-04,2025-03-04 09:00:00,2025-03-04 18:00:00,540,2025-03-04 13:00:00,2025-03-04 13:30:00,30
S0000183,A003,2025-03-05,2025-03-05 09:00:00,2025-03-05 18:00:00,540,2025-03-05 13:00:00,2025-03-05 13:30:00,30
S0000184,A003,2025-03-06,2025-03-06 09:00:00,2025-03-06 18:00:00,540,2025-03-06 13:00:00,2025-03-06 13:30:00,30
S0000185,A003,2025-03-07,2025-03-07 09:00:00,2025-03-07 18:00:00,540,2025-03-07 13:00:00,2025-03-07 13:30:00,30
S0000186,A003,2025-03-10,2025-03-10 09:00:00,2025-03-10 18:00:00,540,2025-03-10 13:00:00,2025-03-10 13:30:00,30
S0000187,A003,2025-03-11,2025-03-11 09:00:00,2025-03-11 18:00:00,540,2025-03-11 13:00:00,2025-03-11 13:30:00,30
S0000188,A003,2025-03-12,2025-03-12 09:00:00,2025-03-12 18:00:00,540,2025-03-12 13:00:00,2025-03-12 13:30:00,30
S0000189,A003,2025-03-13,2025-03-13 09:00:00,2025-03-13 18:00:00,540,2025-03-13 13:00:00,2025-03-13 13:30:00,30
S0000190,A003,2025-03-14,2025-03-14 09:00:00,2025-03-14 18:00:00,540,2025-03-14 13:00:00,2025-03-14 13:30:00,30
S0000191,A003,2025-03-17,2025-03-17 09:00:00,2025-03-17 18:00:00,540,2025-03-17 13:00:00,2025-03-17 13:30:00,30
S0000192,A003,2025-03-18,2025-03-18 09:00:00,2025-03-18 18:00:00,540,2025-03-18 13:00:00,2025-03-18 13:30:00,30
S0000193,A003,2025-03-19,2025-03-19 09:00:00,2025-03-19 18:00:00,540,2025-03-19 13:00:00,2025-03-19 13:30:00,30
S0000194,A003,2025-03-20,2025-03-20 09:00:00,2025-03-20 18:00:00,540,2025-03-20 13:00:00,2025-03-20 13:30:00,30
S0000195,A003,2025-03-21,2025-03-21 09:00:00,2025-03-21 18:00:00,540,2025-03-21 13:00:00,2025-03-21 13:30:00,30
